"region","year","sector","technology","resource","input.price","feed.cost","feed.EJ","product.EJ","non.en.cost","cost"
"Brazil",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,2574314642.54805,0.24542681506,0.225458,445572382.74143,3019887025.28948
"Canada",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,180172829.924854,0.029527787821,0.0271253,53607698.7890255,233780528.71388
"China",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,475417654.649374,0.065708371197,0.0603621,119293547.908153,594711202.557528
"Colombia",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,155826962.352163,0.025927886831,0.0238183,47072078.5416805,202899040.893844
"EU-12",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,696160948.938763,0.109134258779,0.1002547,198133246.813275,894294195.752038
"EU-15",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,5021611809.84186,0.599258764713,0.5505009,1087954287.33645,6109566097.17831
"Europe_Non_EU",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,78780143.2766029,0.011665333834,0.0107162,21178413.575627,99958556.8522299
"European Free Trade Association",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,122472987.631979,0.020368668698,0.0187114,36979318.021219,159452305.653198
"India",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,9279583.66589703,0.001412637289,0.0012977,2564642.9981795,11844226.6640765
"Indonesia",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,1138289057.36792,0.328314127141,0.3016013,596054297.824486,1734343355.19241
"Japan",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,4518817.92876332,0.000455675402,0.0004186,827278.692331,5346096.62109432
"South America_Southern",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,91506413.8009807,0.014444888472,0.0132696,26224695.020916,117731108.821897
"South Korea",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,314638623.734186,0.029892349914,0.0274602,54269561.268867,368908185.003053
"Southeast Asia",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,602884589.658948,0.102982640852,0.0946036,186964984.466806,789849574.125754
