# File: A221.bio_tech_land_alloc.csv
# Title: Biochar technology land allocation for 2025
# Units: thous km2
# Description: Model output from GCAM v8.7 run reference case for detailed land allocation in each region for biomass only (2025)
# Source: RGCAM output
# Column types: cccnc
# ----------
scenario,region,LandLeaf,allocation,Units
Reference,Africa_Eastern,biomassTree_ShebJubR_IRR_lo,0.00102346,thous km2
Reference,Africa_Eastern,biomassTree_ShebJubR_RFD_hi,0.0321054,thous km2
Reference,Africa_Eastern,biomassTree_ShebJubR_RFD_lo,0.0386599,thous km2
Reference,Africa_Northern,biomassGrass_AfrCstNW_IRR_hi,0.00204311,thous km2
Reference,Africa_Northern,biomassGrass_AfrCstNW_IRR_lo,0.0028206,thous km2
Reference,Africa_Northern,biomassGrass_AfrCstNW_RFD_hi,0.0334717,thous km2
Reference,Africa_Northern,biomassGrass_AfrCstNW_RFD_lo,0.0411996,thous km2
Reference,Africa_Northern,biomassGrass_AfrIntN_IRR_hi,1.88E-03,thous km2
Reference,Africa_Northern,biomassGrass_AfrIntN_IRR_lo,2.51E-03,thous km2
Reference,Africa_Northern,biomassGrass_AfrIntN_RFD_hi,0.0102698,thous km2
Reference,Africa_Northern,biomassGrass_AfrIntN_RFD_lo,0.0126786,thous km2
Reference,Africa_Northern,biomassGrass_MeditE_IRR_hi,5.39E-05,thous km2
Reference,Africa_Northern,biomassGrass_MeditE_IRR_lo,7.34E-05,thous km2
Reference,Africa_Northern,biomassGrass_MeditE_RFD_hi,2.13038E-05,thous km2
Reference,Africa_Northern,biomassGrass_MeditE_RFD_lo,2.65737E-05,thous km2
Reference,Africa_Northern,biomassGrass_MeditS_IRR_hi,3.88E-03,thous km2
Reference,Africa_Northern,biomassGrass_MeditS_IRR_lo,5.31E-03,thous km2
Reference,Africa_Northern,biomassGrass_MeditS_RFD_hi,0.0792932,thous km2
Reference,Africa_Northern,biomassGrass_MeditS_RFD_lo,0.0978671,thous km2
Reference,Africa_Northern,biomassGrass_NileR_IRR_hi,9.46E-03,thous km2
Reference,Africa_Northern,biomassGrass_NileR_IRR_lo,1.36E-02,thous km2
Reference,Africa_Northern,biomassGrass_NileR_RFD_hi,0.0101107,thous km2
Reference,Africa_Northern,biomassGrass_NileR_RFD_lo,0.0126118,thous km2
Reference,Africa_Northern,biomassGrass_SinaiP_IRR_hi,6.08E-07,thous km2
Reference,Africa_Northern,biomassGrass_SinaiP_IRR_lo,8.19E-07,thous km2
Reference,Africa_Northern,biomassGrass_SinaiP_RFD_hi,9.77E-08,thous km2
