# File: A26.td_nonenergy_cost_nonmineral.csv
# Title: Electricity transmission and distribution sector non-energy costs (excluding mineral costs)
# Units: $1975/GJ
# Description: Updates non-energy costs for the electricity transmission sectors to have regionally and time varying costs. Costs are total transmission and distribution costs minus mineral costs. Regional variation is based on regional variation in mineral costs which reflects disparities in transmission and distribution intensity (per unit electricity generation).
# Comment:
# Column types: ccccncn
# ----------
region,supplysector,subsector,stub.technology,year,minicam.non.energy.input,input.cost
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2080,non-energy,0.53942409
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2080,non-energy,3.263566016
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2085,non-energy,3.166867998
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2085,non-energy,0.514888772
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2085,non-energy,3.166867998
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2090,non-energy,3.069989573
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2090,non-energy,0.490173048
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2090,non-energy,3.069989573
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2095,non-energy,2.973111149
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2095,non-energy,0.465457323
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2095,non-energy,2.973111149
Africa_Southern,elect_td_bld,elect_td_bld,elect_td_bld,2100,non-energy,2.876232724
Africa_Southern,elect_td_ind,elect_td_ind,elect_td_ind,2100,non-energy,0.440741598
Africa_Southern,elect_td_trn,elect_td_trn,elect_td_trn,2100,non-energy,2.876232724
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2015,non-energy,7.376546739
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2015,non-energy,1.128207225
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2015,non-energy,7.376546739
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2020,non-energy,7.028240162
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2020,non-energy,1.100197801
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2020,non-energy,7.028240162
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2025,non-energy,6.608167804
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2025,non-energy,1.054629735
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2025,non-energy,6.608167804
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2030,non-energy,6.087225757
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2030,non-energy,0.983864243
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2030,non-energy,6.087225757
