# File: A44.bld_floorspace_shares_reg.csv
# Title: Building sub-type floorspace shares by GCAM region
# Units: unitless
# Description: Building sub-type floorspace shares based on floorspace (stock) data from Deetman et al. 2020 for 26 IMAGE regions (reprocessed for GCAM regions). There are 2 floorspace sectors: resid floorspace and comm floorspace. Within resid floorspace there are 8 subsectors (4 building sub-types x urban/rural). Within comm floorspace there are 4 subsectors.
# Source: Deetman et al. 2020 Journal of Cleaner Production Supplementary Information;  https://doi.org/10.1016/j.jclepro.2019.118658 (with data processing for use in GCAM)
# Column types: cccnn
# ----------
region,sector,subsector,year,flsp_share
South America_Northern,comm floorspace,retail commercial,1975,0.036548123
South America_Northern,resid floorspace,semi-detached rural,1975,0.030800454
South America_Northern,resid floorspace,semi-detached urban,1975,0.147540039
South America_Southern,resid floorspace,apartments rural,1975,0.020782984
South America_Southern,resid floorspace,apartments urban,1975,0.104772642
South America_Southern,resid floorspace,detached rural,1975,0.341391546
South America_Southern,resid floorspace,detached urban,1975,0.191360608
South America_Southern,comm floorspace,govern commercial,1975,0.862709719
South America_Southern,resid floorspace,high-rise rural,1975,0.014829131
South America_Southern,resid floorspace,high-rise urban,1975,0.148533285
South America_Southern,comm floorspace,hotels commercial,1975,0.054244978
South America_Southern,comm floorspace,office commercial,1975,0.046497731
South America_Southern,comm floorspace,retail commercial,1975,0.036547573
South America_Southern,resid floorspace,semi-detached rural,1975,0.030805106
South America_Southern,resid floorspace,semi-detached urban,1975,0.147524698
South Asia,resid floorspace,apartments rural,1975,0.124998716
South Asia,resid floorspace,apartments urban,1975,0.017891374
South Asia,resid floorspace,detached rural,1975,0.477128905
South Asia,resid floorspace,detached urban,1975,0.050137876
South Asia,comm floorspace,govern commercial,1975,0.913873905
South Asia,resid floorspace,high-rise rural,1975,0.089189425
South Asia,resid floorspace,high-rise urban,1975,0.025713455
South Asia,comm floorspace,hotels commercial,1975,0.044813235
South Asia,comm floorspace,office commercial,1975,0.02412135
South Asia,comm floorspace,retail commercial,1975,0.01719151
South Asia,resid floorspace,semi-detached rural,1975,0.185276506
South Asia,resid floorspace,semi-detached urban,1975,0.029663743
South Korea,resid floorspace,apartments rural,1975,0.029764517
South Korea,resid floorspace,apartments urban,1975,0.037410067
South Korea,resid floorspace,detached rural,1975,0.488926643
South Korea,resid floorspace,detached urban,1975,0.183792402
South Korea,comm floorspace,govern commercial,1975,0.897120824
South Korea,resid floorspace,high-rise rural,1975,0.02123766
South Korea,resid floorspace,high-rise urban,1975,0.086011373
South Korea,comm floorspace,hotels commercial,1975,0.048335792
South Korea,comm floorspace,office commercial,1975,0.031378387
South Korea,comm floorspace,retail commercial,1975,0.023164997
South Korea,resid floorspace,semi-detached rural,1975,0.044117779
South Korea,resid floorspace,semi-detached urban,1975,0.108739558
Southeast Asia,resid floorspace,apartments rural,1975,0.039096906
Southeast Asia,resid floorspace,apartments urban,1975,0.030005484
Southeast Asia,resid floorspace,detached rural,1975,0.643358063
Southeast Asia,resid floorspace,detached urban,1975,0.093195692
Southeast Asia,comm floorspace,govern commercial,1975,0.905079781
Southeast Asia,resid floorspace,high-rise rural,1975,0.027841341
Southeast Asia,resid floorspace,high-rise urban,1975,0.046057573
Southeast Asia,comm floorspace,hotels commercial,1975,0.046349939
Southeast Asia,comm floorspace,office commercial,1975,0.027887774
Southeast Asia,comm floorspace,retail commercial,1975,0.020682506
Southeast Asia,resid floorspace,semi-detached rural,1975,0.057966879
Southeast Asia,resid floorspace,semi-detached urban,1975,0.062478062
Taiwan,resid floorspace,apartments rural,1975,0.041670813
Taiwan,resid floorspace,apartments urban,1975,0.034733046
Taiwan,resid floorspace,detached rural,1975,0.729989677
Taiwan,resid floorspace,detached urban,1975,0.034281648
Taiwan,comm floorspace,govern commercial,1975,0.917096192
Taiwan,resid floorspace,high-rise rural,1975,0.029733072
Taiwan,resid floorspace,high-rise urban,1975,0.028007506
Taiwan,comm floorspace,hotels commercial,1975,0.044068138
Taiwan,comm floorspace,office commercial,1975,0.022743326
Taiwan,comm floorspace,retail commercial,1975,0.016092344
Taiwan,resid floorspace,semi-detached rural,1975,0.061765615
Taiwan,resid floorspace,semi-detached urban,1975,0.039818623
USA,resid floorspace,apartments rural,1975,0.005293257
USA,resid floorspace,apartments urban,1975,0.037139131
USA,resid floorspace,detached rural,1975,0.30537227
USA,resid floorspace,detached urban,1975,0.540236419
USA,comm floorspace,govern commercial,1975,0.621452578
USA,resid floorspace,high-rise rural,1975,0.001601147
USA,resid floorspace,high-rise urban,1975,0.05841709
USA,comm floorspace,hotels commercial,1975,0.076886771
USA,comm floorspace,office commercial,1975,0.143033294
