# File: A44.bld_floorspace_material_intensity_reg.csv
# Title: Building sub-type floorspace material intensity by GCAM region
# Units: kg/m2
# Description: Building sub-type floorspace material intensities based on data from Deetman et al. 2020. There are 2 floorspace sectors: resid floorspace and comm floorspace. Within resid floorspace there are 8 subsectors (4 building sub-types x urban/rural). Within comm floorspace there are 4 subsectors.
# Source: Deetman et al. 2020 Journal of Cleaner Production Supplementary Information;  https://doi.org/10.1016/j.jclepro.2019.118658 (with data processing for use in GCAM)
# Column types: ccccncn
# ----------
region,sector,subsector,material,year,Units,value
Central Asia,resid floorspace,apartments rural,copper,1990,kg/m2,0.308236103
China,resid floorspace,apartments rural,copper,1990,kg/m2,0.25
EU-12,resid floorspace,apartments rural,copper,1990,kg/m2,0.309167711
EU-15,resid floorspace,apartments rural,copper,1990,kg/m2,0.15
Europe_Eastern,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Europe_Non_EU,resid floorspace,apartments rural,copper,1990,kg/m2,0.299038254
European Free Trade Association,resid floorspace,apartments rural,copper,1990,kg/m2,0.15
India,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Indonesia,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Japan,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Mexico,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Middle East,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Pakistan,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Russia,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
South Africa,resid floorspace,apartments rural,copper,1990,kg/m2,0.39
South America_Northern,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
South America_Southern,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
South Asia,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
South Korea,resid floorspace,apartments rural,copper,1990,kg/m2,0.73
Southeast Asia,resid floorspace,apartments rural,copper,1990,kg/m2,0.338483022
Taiwan,resid floorspace,apartments rural,copper,1990,kg/m2,0.25
Argentina,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
Colombia,resid floorspace,apartments rural,copper,1990,kg/m2,0.31
USA,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Africa_Eastern,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Africa_Northern,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Africa_Southern,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Africa_Western,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Australia_NZ,resid floorspace,apartments rural,copper,2005,kg/m2,0.01
Brazil,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Canada,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Central America and Caribbean,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Central Asia,resid floorspace,apartments rural,copper,2005,kg/m2,0.306826753
China,resid floorspace,apartments rural,copper,2005,kg/m2,0.25
EU-12,resid floorspace,apartments rural,copper,2005,kg/m2,0.309165151
EU-15,resid floorspace,apartments rural,copper,2005,kg/m2,0.15
Europe_Eastern,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Europe_Non_EU,resid floorspace,apartments rural,copper,2005,kg/m2,0.301314539
European Free Trade Association,resid floorspace,apartments rural,copper,2005,kg/m2,0.15
India,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Indonesia,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Japan,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Mexico,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Middle East,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Pakistan,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Russia,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
South Africa,resid floorspace,apartments rural,copper,2005,kg/m2,0.39
South America_Northern,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
South America_Southern,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
South Asia,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
South Korea,resid floorspace,apartments rural,copper,2005,kg/m2,0.73
Southeast Asia,resid floorspace,apartments rural,copper,2005,kg/m2,0.337003973
Taiwan,resid floorspace,apartments rural,copper,2005,kg/m2,0.25
Argentina,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
Colombia,resid floorspace,apartments rural,copper,2005,kg/m2,0.31
USA,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Africa_Eastern,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Africa_Northern,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Africa_Southern,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Africa_Western,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Australia_NZ,resid floorspace,apartments rural,copper,2010,kg/m2,0.01
Brazil,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Canada,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Central America and Caribbean,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Central Asia,resid floorspace,apartments rural,copper,2010,kg/m2,0.306061623
China,resid floorspace,apartments rural,copper,2010,kg/m2,0.25
EU-12,resid floorspace,apartments rural,copper,2010,kg/m2,0.309206357
EU-15,resid floorspace,apartments rural,copper,2010,kg/m2,0.15
Europe_Eastern,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Europe_Non_EU,resid floorspace,apartments rural,copper,2010,kg/m2,0.302176368
European Free Trade Association,resid floorspace,apartments rural,copper,2010,kg/m2,0.15
India,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Indonesia,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Japan,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Mexico,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Middle East,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Pakistan,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Russia,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
South Africa,resid floorspace,apartments rural,copper,2010,kg/m2,0.39
South America_Northern,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
South America_Southern,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
South Asia,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
South Korea,resid floorspace,apartments rural,copper,2010,kg/m2,0.73
Southeast Asia,resid floorspace,apartments rural,copper,2010,kg/m2,0.335407431
Taiwan,resid floorspace,apartments rural,copper,2010,kg/m2,0.25
Argentina,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
Colombia,resid floorspace,apartments rural,copper,2010,kg/m2,0.31
USA,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Africa_Eastern,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Africa_Northern,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Africa_Southern,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Africa_Western,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Australia_NZ,resid floorspace,apartments rural,copper,2015,kg/m2,0.01
Brazil,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Canada,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Central America and Caribbean,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Central Asia,resid floorspace,apartments rural,copper,2015,kg/m2,0.305559645
China,resid floorspace,apartments rural,copper,2015,kg/m2,0.25
EU-12,resid floorspace,apartments rural,copper,2015,kg/m2,0.309206036
EU-15,resid floorspace,apartments rural,copper,2015,kg/m2,0.15
Europe_Eastern,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Europe_Non_EU,resid floorspace,apartments rural,copper,2015,kg/m2,0.303401094
European Free Trade Association,resid floorspace,apartments rural,copper,2015,kg/m2,0.15
India,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Indonesia,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Japan,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Mexico,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Middle East,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Pakistan,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Russia,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
South Africa,resid floorspace,apartments rural,copper,2015,kg/m2,0.39
South America_Northern,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
South America_Southern,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
South Asia,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
South Korea,resid floorspace,apartments rural,copper,2015,kg/m2,0.73
Southeast Asia,resid floorspace,apartments rural,copper,2015,kg/m2,0.333150015
Taiwan,resid floorspace,apartments rural,copper,2015,kg/m2,0.25
Argentina,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
Colombia,resid floorspace,apartments rural,copper,2015,kg/m2,0.31
USA,resid floorspace,apartments rural,steel,1975,kg/m2,4.951694674
Africa_Eastern,resid floorspace,apartments rural,steel,1975,kg/m2,97.36
Africa_Northern,resid floorspace,apartments rural,steel,1975,kg/m2,97.36000001
Africa_Southern,resid floorspace,apartments rural,steel,1975,kg/m2,97.36000002
Africa_Western,resid floorspace,apartments rural,steel,1975,kg/m2,26.73
Australia_NZ,resid floorspace,apartments rural,steel,1975,kg/m2,49.41000001
Brazil,resid floorspace,apartments rural,steel,1975,kg/m2,97.36
Canada,resid floorspace,apartments rural,steel,1975,kg/m2,97.36000003
Central America and Caribbean,resid floorspace,apartments rural,steel,1975,kg/m2,97.36000001
Central Asia,resid floorspace,apartments rural,steel,1975,kg/m2,101.1632452
China,resid floorspace,apartments rural,steel,1975,kg/m2,374.3
EU-12,resid floorspace,apartments rural,steel,1975,kg/m2,97.27547934
EU-15,resid floorspace,apartments rural,steel,1975,kg/m2,76.24000001
Europe_Eastern,resid floorspace,apartments rural,steel,1975,kg/m2,97.35999999
Europe_Non_EU,resid floorspace,apartments rural,steel,1975,kg/m2,79.89435234
European Free Trade Association,resid floorspace,apartments rural,steel,1975,kg/m2,76.24000001
India,resid floorspace,apartments rural,steel,1975,kg/m2,21.16
Indonesia,resid floorspace,apartments rural,steel,1975,kg/m2,97.36
Japan,resid floorspace,apartments rural,steel,1975,kg/m2,97.36000001
