# File: A221.stubtech_margin.csv
# Title: Regional cost adjustments for refining subsectors in history
# Units: 1975$/GJ
# Description: Cost adjustments by refining subsector in history for each GCAM region. Global costs are based on USA 
# NEMS assumptions and will not be reflective of every region. These adjustments allow each region's refining sector to
# have a profit rate of 1 in history based on price estimates from A221.rsrc_info.csv.
# Source: NEMS costs, SEDS prices, and GCAM version 8 baseline commodity prices.
# Column types: ciccn
# ----------
region,year,subsector,technology,cost.adj
Australia_NZ,2005,crude oil refining,Jet_Kerosene,-1.424881
Brazil,2005,crude oil refining,Jet_Kerosene,-1.040256
Canada,2005,crude oil refining,Jet_Kerosene,-0.805249
Central America and Caribbean,2005,crude oil refining,Jet_Kerosene,-2.576341
Central Asia,2005,crude oil refining,Jet_Kerosene,-0.674875
China,2005,crude oil refining,Jet_Kerosene,-1.376324
Colombia,2005,crude oil refining,Jet_Kerosene,-0.667974
EU-12,2005,crude oil refining,Jet_Kerosene,-1.056203
EU-15,2005,crude oil refining,Jet_Kerosene,-1.316391
Europe_Non_EU,2005,crude oil refining,Jet_Kerosene,-1.148316
European Free Trade Association,2005,crude oil refining,Jet_Kerosene,-0.058186
India,2005,crude oil refining,Jet_Kerosene,-0.631114
Indonesia,2005,crude oil refining,Jet_Kerosene,-1.846829
Japan,2005,crude oil refining,Jet_Kerosene,-1.637966
Mexico,2005,crude oil refining,Jet_Kerosene,-1.965367
Middle East,2005,crude oil refining,Jet_Kerosene,-0.086275
Pakistan,2005,crude oil refining,Jet_Kerosene,-2.096488
Russia,2005,crude oil refining,Jet_Kerosene,-0.105575
South Africa,2005,crude oil refining,Jet_Kerosene,-1.382808
South America_Northern,2005,crude oil refining,Jet_Kerosene,0.892629
South America_Southern,2005,crude oil refining,Jet_Kerosene,-1.37735
South Asia,2005,crude oil refining,Jet_Kerosene,-3.254063
South Korea,2005,crude oil refining,Jet_Kerosene,-0.602063
Southeast Asia,2005,crude oil refining,Jet_Kerosene,-1.291103
Taiwan,2005,crude oil refining,Jet_Kerosene,-0.935633
USA,2005,crude oil refining,Jet_Kerosene,-1.448971
Ukraine,2005,crude oil refining,Jet_Kerosene,-0.422384
Africa_Eastern,2005,crude oil refining,LPG,-2.840486
Africa_Northern,2005,crude oil refining,LPG,-0.321901
Africa_Southern,2005,crude oil refining,LPG,-3.28325
Africa_Western,2005,crude oil refining,LPG,-2.525823
Argentina,2005,crude oil refining,LPG,-0.159504
Australia_NZ,2005,crude oil refining,LPG,-1.424881
Brazil,2005,crude oil refining,LPG,-1.040256
Canada,2005,crude oil refining,LPG,-0.805249
Central America and Caribbean,2005,crude oil refining,LPG,-2.576341
Central Asia,2005,crude oil refining,LPG,-0.674875
China,2005,crude oil refining,LPG,-1.376324
Colombia,2005,crude oil refining,LPG,-0.667974
EU-12,2005,crude oil refining,LPG,-1.056203
EU-15,2005,crude oil refining,LPG,-1.316391
Europe_Non_EU,2005,crude oil refining,LPG,-1.148316
European Free Trade Association,2005,crude oil refining,LPG,-0.058186
India,2005,crude oil refining,LPG,-0.631114
Indonesia,2005,crude oil refining,LPG,-1.846829
Japan,2005,crude oil refining,LPG,-1.637966
Mexico,2005,crude oil refining,LPG,-1.965367
Middle East,2005,crude oil refining,LPG,-0.086275
Pakistan,2005,crude oil refining,LPG,-2.096488
Russia,2005,crude oil refining,LPG,-0.105575
South Africa,2005,crude oil refining,LPG,-1.382808
South America_Northern,2005,crude oil refining,LPG,0.892629
South America_Southern,2005,crude oil refining,LPG,-1.37735
South Asia,2005,crude oil refining,LPG,-3.254063
South Korea,2005,crude oil refining,LPG,-0.602063
Southeast Asia,2005,crude oil refining,LPG,-1.291103
Taiwan,2005,crude oil refining,LPG,-0.935633
USA,2005,crude oil refining,LPG,-1.448971
Ukraine,2005,crude oil refining,LPG,-0.422384
Africa_Eastern,2005,crude oil refining,Other,-2.840486
Africa_Northern,2005,crude oil refining,Other,-0.321901
Africa_Southern,2005,crude oil refining,Other,-3.28325
Africa_Western,2005,crude oil refining,Other,-2.525823
Argentina,2005,crude oil refining,Other,-0.159504
Australia_NZ,2005,crude oil refining,Other,-1.424881
Brazil,2005,crude oil refining,Other,-1.040256
Canada,2005,crude oil refining,Other,-0.805249
Central America and Caribbean,2005,crude oil refining,Other,-2.576341
Central Asia,2005,crude oil refining,Other,-0.674875
China,2005,crude oil refining,Other,-1.376324
Colombia,2005,crude oil refining,Other,-0.667974
EU-12,2005,crude oil refining,Other,-1.056203
EU-15,2005,crude oil refining,Other,-1.316391
Europe_Non_EU,2005,crude oil refining,Other,-1.148316
European Free Trade Association,2005,crude oil refining,Other,-0.058186
India,2005,crude oil refining,Other,-0.631114
Indonesia,2005,crude oil refining,Other,-1.846829
Japan,2005,crude oil refining,Other,-1.637966
Mexico,2005,crude oil refining,Other,-1.965367
Middle East,2005,crude oil refining,Other,-0.086275
Pakistan,2005,crude oil refining,Other,-2.096488
Russia,2005,crude oil refining,Other,-0.105575
South Africa,2005,crude oil refining,Other,-1.382808
South America_Northern,2005,crude oil refining,Other,0.892629
South America_Southern,2005,crude oil refining,Other,-1.37735
South Asia,2005,crude oil refining,Other,-3.254063
South Korea,2005,crude oil refining,Other,-0.602063
Southeast Asia,2005,crude oil refining,Other,-1.291103
Taiwan,2005,crude oil refining,Other,-0.935633
USA,2005,crude oil refining,Other,-1.448971
Ukraine,2005,crude oil refining,Other,-0.422384
Africa_Eastern,2005,crude oil refining,Residual_FuelOil,-2.840486
Africa_Northern,2005,crude oil refining,Residual_FuelOil,-0.321901
Africa_Southern,2005,crude oil refining,Residual_FuelOil,-3.28325
Africa_Western,2005,crude oil refining,Residual_FuelOil,-2.525823
Argentina,2005,crude oil refining,Residual_FuelOil,-0.159504
Australia_NZ,2005,crude oil refining,Residual_FuelOil,-1.424881
Brazil,2005,crude oil refining,Residual_FuelOil,-1.040256
Canada,2005,crude oil refining,Residual_FuelOil,-0.805249
Central America and Caribbean,2005,crude oil refining,Residual_FuelOil,-2.576341
Central Asia,2005,crude oil refining,Residual_FuelOil,-0.674875
China,2005,crude oil refining,Residual_FuelOil,-1.376324
Colombia,2005,crude oil refining,Residual_FuelOil,-0.667974
EU-12,2005,crude oil refining,Residual_FuelOil,-1.056203
EU-15,2005,crude oil refining,Residual_FuelOil,-1.316391
Europe_Non_EU,2005,crude oil refining,Residual_FuelOil,-1.148316
European Free Trade Association,2005,crude oil refining,Residual_FuelOil,-0.058186
India,2005,crude oil refining,Residual_FuelOil,-0.631114
Indonesia,2005,crude oil refining,Residual_FuelOil,-1.846829
Japan,2005,crude oil refining,Residual_FuelOil,-1.637966
Mexico,2005,crude oil refining,Residual_FuelOil,-1.965367
Middle East,2005,crude oil refining,Residual_FuelOil,-0.086275
Pakistan,2005,crude oil refining,Residual_FuelOil,-2.096488
Russia,2005,crude oil refining,Residual_FuelOil,-0.105575
South Africa,2005,crude oil refining,Residual_FuelOil,-1.382808
South America_Northern,2005,crude oil refining,Residual_FuelOil,0.892629
South America_Southern,2005,crude oil refining,Residual_FuelOil,-1.37735
South Asia,2005,crude oil refining,Residual_FuelOil,-3.254063
South Korea,2005,crude oil refining,Residual_FuelOil,-0.602063
Southeast Asia,2005,crude oil refining,Residual_FuelOil,-1.291103
Taiwan,2005,crude oil refining,Residual_FuelOil,-0.935633
USA,2005,crude oil refining,Residual_FuelOil,-1.448971
Ukraine,2005,crude oil refining,Residual_FuelOil,-0.422384
Africa_Eastern,2010,crude oil refining,Distillate_FuelOil,-4.131607
Africa_Northern,2010,crude oil refining,Distillate_FuelOil,-1.382891
Africa_Southern,2010,crude oil refining,Distillate_FuelOil,-4.468227
Africa_Western,2010,crude oil refining,Distillate_FuelOil,-4.305127
Argentina,2010,crude oil refining,Distillate_FuelOil,-1.609575
Australia_NZ,2010,crude oil refining,Distillate_FuelOil,-2.754502
Brazil,2010,crude oil refining,Distillate_FuelOil,-2.241744
Canada,2010,crude oil refining,Distillate_FuelOil,-1.584991
Central America and Caribbean,2010,crude oil refining,Distillate_FuelOil,-4.174771
Central Asia,2010,crude oil refining,Distillate_FuelOil,-1.204067
China,2010,crude oil refining,Distillate_FuelOil,-2.163459
Colombia,2010,crude oil refining,Distillate_FuelOil,-2.244111
EU-12,2010,crude oil refining,Distillate_FuelOil,-1.999562
EU-15,2010,crude oil refining,Distillate_FuelOil,-2.136827
Europe_Non_EU,2010,crude oil refining,Distillate_FuelOil,-2.662287
European Free Trade Association,2010,crude oil refining,Distillate_FuelOil,-0.920343
India,2010,crude oil refining,Distillate_FuelOil,-0.650185
Indonesia,2010,crude oil refining,Distillate_FuelOil,-2.809498
Japan,2010,crude oil refining,Distillate_FuelOil,-2.250351
Mexico,2010,crude oil refining,Distillate_FuelOil,-3.149156
Middle East,2010,crude oil refining,Distillate_FuelOil,-0.663376
Pakistan,2010,crude oil refining,Distillate_FuelOil,-3.727547
Russia,2010,crude oil refining,Distillate_FuelOil,0.074075
South Africa,2010,crude oil refining,Distillate_FuelOil,-3.36944
South America_Northern,2010,crude oil refining,Distillate_FuelOil,-1.085213
South America_Southern,2010,crude oil refining,Distillate_FuelOil,-2.812904
South Asia,2010,crude oil refining,Distillate_FuelOil,-4.588497
South Korea,2010,crude oil refining,Distillate_FuelOil,-1.038365
Southeast Asia,2010,crude oil refining,Distillate_FuelOil,-2.353278
Taiwan,2010,crude oil refining,Distillate_FuelOil,-1.952964
USA,2010,crude oil refining,Distillate_FuelOil,-1.960526
Ukraine,2010,crude oil refining,Distillate_FuelOil,-2.097809
Africa_Eastern,2010,crude oil refining,Gasoline,-4.131607
Africa_Northern,2010,crude oil refining,Gasoline,-1.382891
Africa_Southern,2010,crude oil refining,Gasoline,-4.468227
Africa_Western,2010,crude oil refining,Gasoline,-4.305127
Argentina,2010,crude oil refining,Gasoline,-1.609575
Australia_NZ,2010,crude oil refining,Gasoline,-2.754502
Brazil,2010,crude oil refining,Gasoline,-2.241744
Canada,2010,crude oil refining,Gasoline,-1.584991
Central America and Caribbean,2010,crude oil refining,Gasoline,-4.174771
Central Asia,2010,crude oil refining,Gasoline,-1.204067
China,2010,crude oil refining,Gasoline,-2.163459
Colombia,2010,crude oil refining,Gasoline,-2.244111
EU-12,2010,crude oil refining,Gasoline,-1.999562
EU-15,2010,crude oil refining,Gasoline,-2.136827
Europe_Non_EU,2010,crude oil refining,Gasoline,-2.662287
European Free Trade Association,2010,crude oil refining,Gasoline,-0.920343
India,2010,crude oil refining,Gasoline,-0.650185
Indonesia,2010,crude oil refining,Gasoline,-2.809498
Japan,2010,crude oil refining,Gasoline,-2.250351
Mexico,2010,crude oil refining,Gasoline,-3.149156
Middle East,2010,crude oil refining,Gasoline,-0.663376
Pakistan,2010,crude oil refining,Gasoline,-3.727547
Russia,2010,crude oil refining,Gasoline,0.074075
South Africa,2010,crude oil refining,Gasoline,-3.36944
South America_Northern,2010,crude oil refining,Gasoline,-1.085213
South America_Southern,2010,crude oil refining,Gasoline,-2.812904
South Asia,2010,crude oil refining,Gasoline,-4.588497
South Korea,2010,crude oil refining,Gasoline,-1.038365
Southeast Asia,2010,crude oil refining,Gasoline,-2.353278
Taiwan,2010,crude oil refining,Gasoline,-1.952964
USA,2010,crude oil refining,Gasoline,-1.960526
Ukraine,2010,crude oil refining,Gasoline,-2.097809
Africa_Eastern,2010,crude oil refining,Heavy_Residual,-4.131607
Africa_Northern,2010,crude oil refining,Heavy_Residual,-1.382891
Africa_Southern,2010,crude oil refining,Heavy_Residual,-4.468227
Africa_Western,2010,crude oil refining,Heavy_Residual,-4.305127
Argentina,2010,crude oil refining,Heavy_Residual,-1.609575
Australia_NZ,2010,crude oil refining,Heavy_Residual,-2.754502
Brazil,2010,crude oil refining,Heavy_Residual,-2.241744
Canada,2010,crude oil refining,Heavy_Residual,-1.584991
Central America and Caribbean,2010,crude oil refining,Heavy_Residual,-4.174771
Central Asia,2010,crude oil refining,Heavy_Residual,-1.204067
China,2010,crude oil refining,Heavy_Residual,-2.163459
Colombia,2010,crude oil refining,Heavy_Residual,-2.244111
EU-12,2010,crude oil refining,Heavy_Residual,-1.999562
EU-15,2010,crude oil refining,Heavy_Residual,-2.136827
Europe_Non_EU,2010,crude oil refining,Heavy_Residual,-2.662287
European Free Trade Association,2010,crude oil refining,Heavy_Residual,-0.920343
India,2010,crude oil refining,Heavy_Residual,-0.650185
Indonesia,2010,crude oil refining,Heavy_Residual,-2.809498
Japan,2010,crude oil refining,Heavy_Residual,-2.250351
Mexico,2010,crude oil refining,Heavy_Residual,-3.149156
Middle East,2010,crude oil refining,Heavy_Residual,-0.663376
Pakistan,2010,crude oil refining,Heavy_Residual,-3.727547
Russia,2010,crude oil refining,Heavy_Residual,0.074075
South Africa,2010,crude oil refining,Heavy_Residual,-3.36944
South America_Northern,2010,crude oil refining,Heavy_Residual,-1.085213
South America_Southern,2010,crude oil refining,Heavy_Residual,-2.812904
South Asia,2010,crude oil refining,Heavy_Residual,-4.588497
South Korea,2010,crude oil refining,Heavy_Residual,-1.038365
Southeast Asia,2010,crude oil refining,Heavy_Residual,-2.353278
Taiwan,2010,crude oil refining,Heavy_Residual,-1.952964
USA,2010,crude oil refining,Heavy_Residual,-1.960526
Ukraine,2010,crude oil refining,Heavy_Residual,-2.097809
Africa_Eastern,2010,crude oil refining,Jet_Kerosene,-4.131607
Africa_Northern,2010,crude oil refining,Jet_Kerosene,-1.382891
Africa_Southern,2010,crude oil refining,Jet_Kerosene,-4.468227
Africa_Western,2010,crude oil refining,Jet_Kerosene,-4.305127
Argentina,2010,crude oil refining,Jet_Kerosene,-1.609575
Australia_NZ,2010,crude oil refining,Jet_Kerosene,-2.754502
Brazil,2010,crude oil refining,Jet_Kerosene,-2.241744
Canada,2010,crude oil refining,Jet_Kerosene,-1.584991
Central America and Caribbean,2010,crude oil refining,Jet_Kerosene,-4.174771
Central Asia,2010,crude oil refining,Jet_Kerosene,-1.204067
China,2010,crude oil refining,Jet_Kerosene,-2.163459
Colombia,2010,crude oil refining,Jet_Kerosene,-2.244111
EU-12,2010,crude oil refining,Jet_Kerosene,-1.999562
EU-15,2010,crude oil refining,Jet_Kerosene,-2.136827
Europe_Non_EU,2010,crude oil refining,Jet_Kerosene,-2.662287
European Free Trade Association,2010,crude oil refining,Jet_Kerosene,-0.920343
India,2010,crude oil refining,Jet_Kerosene,-0.650185
Indonesia,2010,crude oil refining,Jet_Kerosene,-2.809498
Japan,2010,crude oil refining,Jet_Kerosene,-2.250351
Mexico,2010,crude oil refining,Jet_Kerosene,-3.149156
Middle East,2010,crude oil refining,Jet_Kerosene,-0.663376
Pakistan,2010,crude oil refining,Jet_Kerosene,-3.727547
Russia,2010,crude oil refining,Jet_Kerosene,0.074075
South Africa,2010,crude oil refining,Jet_Kerosene,-3.36944
South America_Northern,2010,crude oil refining,Jet_Kerosene,-1.085213
South America_Southern,2010,crude oil refining,Jet_Kerosene,-2.812904
South Asia,2010,crude oil refining,Jet_Kerosene,-4.588497
South Korea,2010,crude oil refining,Jet_Kerosene,-1.038365
Southeast Asia,2010,crude oil refining,Jet_Kerosene,-2.353278
Taiwan,2010,crude oil refining,Jet_Kerosene,-1.952964
USA,2010,crude oil refining,Jet_Kerosene,-1.960526
Ukraine,2010,crude oil refining,Jet_Kerosene,-2.097809
Africa_Eastern,2010,crude oil refining,LPG,-4.131607
Africa_Northern,2010,crude oil refining,LPG,-1.382891
Africa_Southern,2010,crude oil refining,LPG,-4.468227
Africa_Western,2010,crude oil refining,LPG,-4.305127
Argentina,2010,crude oil refining,LPG,-1.609575
Australia_NZ,2010,crude oil refining,LPG,-2.754502
Brazil,2010,crude oil refining,LPG,-2.241744
Canada,2010,crude oil refining,LPG,-1.584991
Central America and Caribbean,2010,crude oil refining,LPG,-4.174771
Central Asia,2010,crude oil refining,LPG,-1.204067
China,2010,crude oil refining,LPG,-2.163459
Colombia,2010,crude oil refining,LPG,-2.244111
EU-12,2010,crude oil refining,LPG,-1.999562
EU-15,2010,crude oil refining,LPG,-2.136827
Europe_Non_EU,2010,crude oil refining,LPG,-2.662287
European Free Trade Association,2010,crude oil refining,LPG,-0.920343
India,2010,crude oil refining,LPG,-0.650185
Indonesia,2010,crude oil refining,LPG,-2.809498
Japan,2010,crude oil refining,LPG,-2.250351
Mexico,2010,crude oil refining,LPG,-3.149156
Middle East,2010,crude oil refining,LPG,-0.663376
Pakistan,2010,crude oil refining,LPG,-3.727547
Russia,2010,crude oil refining,LPG,0.074075
South Africa,2010,crude oil refining,LPG,-3.36944
South America_Northern,2010,crude oil refining,LPG,-1.085213
South America_Southern,2010,crude oil refining,LPG,-2.812904
South Asia,2010,crude oil refining,LPG,-4.588497
South Korea,2010,crude oil refining,LPG,-1.038365
Southeast Asia,2010,crude oil refining,LPG,-2.353278
Taiwan,2010,crude oil refining,LPG,-1.952964
USA,2010,crude oil refining,LPG,-1.960526
Ukraine,2010,crude oil refining,LPG,-2.097809
Africa_Eastern,2010,crude oil refining,Other,-4.131607
Africa_Northern,2010,crude oil refining,Other,-1.382891
Africa_Southern,2010,crude oil refining,Other,-4.468227
Africa_Western,2010,crude oil refining,Other,-4.305127
Argentina,2010,crude oil refining,Other,-1.609575
Australia_NZ,2010,crude oil refining,Other,-2.754502
Brazil,2010,crude oil refining,Other,-2.241744
Canada,2010,crude oil refining,Other,-1.584991
Central America and Caribbean,2010,crude oil refining,Other,-4.174771
Central Asia,2010,crude oil refining,Other,-1.204067
China,2010,crude oil refining,Other,-2.163459
Colombia,2010,crude oil refining,Other,-2.244111
EU-12,2010,crude oil refining,Other,-1.999562
EU-15,2010,crude oil refining,Other,-2.136827
Europe_Non_EU,2010,crude oil refining,Other,-2.662287
European Free Trade Association,2010,crude oil refining,Other,-0.920343
India,2010,crude oil refining,Other,-0.650185
Indonesia,2010,crude oil refining,Other,-2.809498
Japan,2010,crude oil refining,Other,-2.250351
Mexico,2010,crude oil refining,Other,-3.149156
Middle East,2010,crude oil refining,Other,-0.663376
Pakistan,2010,crude oil refining,Other,-3.727547
Russia,2010,crude oil refining,Other,0.074075
South Africa,2010,crude oil refining,Other,-3.36944
South America_Northern,2010,crude oil refining,Other,-1.085213
South America_Southern,2010,crude oil refining,Other,-2.812904
South Asia,2010,crude oil refining,Other,-4.588497
South Korea,2010,crude oil refining,Other,-1.038365
Southeast Asia,2010,crude oil refining,Other,-2.353278
Taiwan,2010,crude oil refining,Other,-1.952964
USA,2010,crude oil refining,Other,-1.960526
Ukraine,2010,crude oil refining,Other,-2.097809
Africa_Eastern,2010,crude oil refining,Residual_FuelOil,-4.131607
Africa_Northern,2010,crude oil refining,Residual_FuelOil,-1.382891
Africa_Southern,2010,crude oil refining,Residual_FuelOil,-4.468227
Africa_Western,2010,crude oil refining,Residual_FuelOil,-4.305127
Argentina,2010,crude oil refining,Residual_FuelOil,-1.609575
Australia_NZ,2010,crude oil refining,Residual_FuelOil,-2.754502
Brazil,2010,crude oil refining,Residual_FuelOil,-2.241744
Canada,2010,crude oil refining,Residual_FuelOil,-1.584991
Central America and Caribbean,2010,crude oil refining,Residual_FuelOil,-4.174771
Central Asia,2010,crude oil refining,Residual_FuelOil,-1.204067
China,2010,crude oil refining,Residual_FuelOil,-2.163459
Colombia,2010,crude oil refining,Residual_FuelOil,-2.244111
EU-12,2010,crude oil refining,Residual_FuelOil,-1.999562
EU-15,2010,crude oil refining,Residual_FuelOil,-2.136827
Europe_Non_EU,2010,crude oil refining,Residual_FuelOil,-2.662287
European Free Trade Association,2010,crude oil refining,Residual_FuelOil,-0.920343
India,2010,crude oil refining,Residual_FuelOil,-0.650185
Indonesia,2010,crude oil refining,Residual_FuelOil,-2.809498
Japan,2010,crude oil refining,Residual_FuelOil,-2.250351
Mexico,2010,crude oil refining,Residual_FuelOil,-3.149156
Middle East,2010,crude oil refining,Residual_FuelOil,-0.663376
Pakistan,2010,crude oil refining,Residual_FuelOil,-3.727547
Russia,2010,crude oil refining,Residual_FuelOil,0.074075
South Africa,2010,crude oil refining,Residual_FuelOil,-3.36944
South America_Northern,2010,crude oil refining,Residual_FuelOil,-1.085213
South America_Southern,2010,crude oil refining,Residual_FuelOil,-2.812904
South Asia,2010,crude oil refining,Residual_FuelOil,-4.588497
South Korea,2010,crude oil refining,Residual_FuelOil,-1.038365
Southeast Asia,2010,crude oil refining,Residual_FuelOil,-2.353278
Taiwan,2010,crude oil refining,Residual_FuelOil,-1.952964
USA,2010,crude oil refining,Residual_FuelOil,-1.960526
Ukraine,2010,crude oil refining,Residual_FuelOil,-2.097809
Africa_Eastern,2015,crude oil refining,Distillate_FuelOil,-5.486075
Africa_Northern,2015,crude oil refining,Distillate_FuelOil,-3.861321
Africa_Southern,2015,crude oil refining,Distillate_FuelOil,-5.505196
Africa_Western,2015,crude oil refining,Distillate_FuelOil,-5.512019
Argentina,2015,crude oil refining,Distillate_FuelOil,-3.488025
Australia_NZ,2015,crude oil refining,Distillate_FuelOil,-4.362237
Brazil,2015,crude oil refining,Distillate_FuelOil,-3.483265
Canada,2015,crude oil refining,Distillate_FuelOil,-3.009696
Central America and Caribbean,2015,crude oil refining,Distillate_FuelOil,-5.401892
Central Asia,2015,crude oil refining,Distillate_FuelOil,-3.259976
China,2015,crude oil refining,Distillate_FuelOil,-3.576262
Colombia,2015,crude oil refining,Distillate_FuelOil,-3.65526
EU-12,2015,crude oil refining,Distillate_FuelOil,-3.054542
EU-15,2015,crude oil refining,Distillate_FuelOil,-3.402951
Europe_Non_EU,2015,crude oil refining,Distillate_FuelOil,-3.61692
European Free Trade Association,2015,crude oil refining,Distillate_FuelOil,-2.183984
India,2015,crude oil refining,Distillate_FuelOil,-2.806502
Indonesia,2015,crude oil refining,Distillate_FuelOil,-4.000033
Japan,2015,crude oil refining,Distillate_FuelOil,-3.696384
Mexico,2015,crude oil refining,Distillate_FuelOil,-4.40915
Middle East,2015,crude oil refining,Distillate_FuelOil,-2.683226
Pakistan,2015,crude oil refining,Distillate_FuelOil,-4.818507
Russia,2015,crude oil refining,Distillate_FuelOil,-1.634563
South Africa,2015,crude oil refining,Distillate_FuelOil,-4.430216
South America_Northern,2015,crude oil refining,Distillate_FuelOil,-3.050171
South America_Southern,2015,crude oil refining,Distillate_FuelOil,-4.361396
South Asia,2015,crude oil refining,Distillate_FuelOil,-5.673495
South Korea,2015,crude oil refining,Distillate_FuelOil,-2.593182
Southeast Asia,2015,crude oil refining,Distillate_FuelOil,-4.024249
Taiwan,2015,crude oil refining,Distillate_FuelOil,-3.426883
USA,2015,crude oil refining,Distillate_FuelOil,-2.919427
Ukraine,2015,crude oil refining,Distillate_FuelOil,-5.204723
Africa_Eastern,2015,crude oil refining,Gasoline,-5.486075
Africa_Northern,2015,crude oil refining,Gasoline,-3.861321
Africa_Southern,2015,crude oil refining,Gasoline,-5.505196
Africa_Western,2015,crude oil refining,Gasoline,-5.512019
Argentina,2015,crude oil refining,Gasoline,-3.488025
Australia_NZ,2015,crude oil refining,Gasoline,-4.362237
Brazil,2015,crude oil refining,Gasoline,-3.483265
Canada,2015,crude oil refining,Gasoline,-3.009696
Central America and Caribbean,2015,crude oil refining,Gasoline,-5.401892
Central Asia,2015,crude oil refining,Gasoline,-3.259976
China,2015,crude oil refining,Gasoline,-3.576262
Colombia,2015,crude oil refining,Gasoline,-3.65526
EU-12,2015,crude oil refining,Gasoline,-3.054542
EU-15,2015,crude oil refining,Gasoline,-3.402951
Europe_Non_EU,2015,crude oil refining,Gasoline,-3.61692
European Free Trade Association,2015,crude oil refining,Gasoline,-2.183984
India,2015,crude oil refining,Gasoline,-2.806502
Indonesia,2015,crude oil refining,Gasoline,-4.000033
Japan,2015,crude oil refining,Gasoline,-3.696384
Mexico,2015,crude oil refining,Gasoline,-4.40915
Middle East,2015,crude oil refining,Gasoline,-2.683226
Pakistan,2015,crude oil refining,Gasoline,-4.818507
Russia,2015,crude oil refining,Gasoline,-1.634563
South Africa,2015,crude oil refining,Gasoline,-4.430216
South America_Northern,2015,crude oil refining,Gasoline,-3.050171
South America_Southern,2015,crude oil refining,Gasoline,-4.361396
South Asia,2015,crude oil refining,Gasoline,-5.673495
South Korea,2015,crude oil refining,Gasoline,-2.593182
Southeast Asia,2015,crude oil refining,Gasoline,-4.024249
Taiwan,2015,crude oil refining,Gasoline,-3.426883
USA,2015,crude oil refining,Gasoline,-2.919427
Ukraine,2015,crude oil refining,Gasoline,-5.204723
Africa_Eastern,2015,crude oil refining,Heavy_Residual,-5.486075
Africa_Northern,2015,crude oil refining,Heavy_Residual,-3.861321
Africa_Southern,2015,crude oil refining,Heavy_Residual,-5.505196
Africa_Western,2015,crude oil refining,Heavy_Residual,-5.512019
Argentina,2015,crude oil refining,Heavy_Residual,-3.488025
Australia_NZ,2015,crude oil refining,Heavy_Residual,-4.362237
Brazil,2015,crude oil refining,Heavy_Residual,-3.483265
Canada,2015,crude oil refining,Heavy_Residual,-3.009696
Central America and Caribbean,2015,crude oil refining,Heavy_Residual,-5.401892
Central Asia,2015,crude oil refining,Heavy_Residual,-3.259976
China,2015,crude oil refining,Heavy_Residual,-3.576262
Colombia,2015,crude oil refining,Heavy_Residual,-3.65526
EU-12,2015,crude oil refining,Heavy_Residual,-3.054542
EU-15,2015,crude oil refining,Heavy_Residual,-3.402951
Europe_Non_EU,2015,crude oil refining,Heavy_Residual,-3.61692
European Free Trade Association,2015,crude oil refining,Heavy_Residual,-2.183984
India,2015,crude oil refining,Heavy_Residual,-2.806502
Indonesia,2015,crude oil refining,Heavy_Residual,-4.000033
Japan,2015,crude oil refining,Heavy_Residual,-3.696384
Mexico,2015,crude oil refining,Heavy_Residual,-4.40915
Middle East,2015,crude oil refining,Heavy_Residual,-2.683226
Pakistan,2015,crude oil refining,Heavy_Residual,-4.818507
Russia,2015,crude oil refining,Heavy_Residual,-1.634563
South Africa,2015,crude oil refining,Heavy_Residual,-4.430216
South America_Northern,2015,crude oil refining,Heavy_Residual,-3.050171
South America_Southern,2015,crude oil refining,Heavy_Residual,-4.361396
South Asia,2015,crude oil refining,Heavy_Residual,-5.673495
South Korea,2015,crude oil refining,Heavy_Residual,-2.593182
Southeast Asia,2015,crude oil refining,Heavy_Residual,-4.024249
Taiwan,2015,crude oil refining,Heavy_Residual,-3.426883
USA,2015,crude oil refining,Heavy_Residual,-2.919427
Ukraine,2015,crude oil refining,Heavy_Residual,-5.204723
Africa_Eastern,2015,crude oil refining,Jet_Kerosene,-5.486075
Africa_Northern,2015,crude oil refining,Jet_Kerosene,-3.861321
Africa_Southern,2015,crude oil refining,Jet_Kerosene,-5.505196
Africa_Western,2015,crude oil refining,Jet_Kerosene,-5.512019
Argentina,2015,crude oil refining,Jet_Kerosene,-3.488025
Australia_NZ,2015,crude oil refining,Jet_Kerosene,-4.362237
Brazil,2015,crude oil refining,Jet_Kerosene,-3.483265
Canada,2015,crude oil refining,Jet_Kerosene,-3.009696
Central America and Caribbean,2015,crude oil refining,Jet_Kerosene,-5.401892
Central Asia,2015,crude oil refining,Jet_Kerosene,-3.259976
China,2015,crude oil refining,Jet_Kerosene,-3.576262
Colombia,2015,crude oil refining,Jet_Kerosene,-3.65526
EU-12,2015,crude oil refining,Jet_Kerosene,-3.054542
EU-15,2015,crude oil refining,Jet_Kerosene,-3.402951
Europe_Non_EU,2015,crude oil refining,Jet_Kerosene,-3.61692
European Free Trade Association,2015,crude oil refining,Jet_Kerosene,-2.183984
India,2015,crude oil refining,Jet_Kerosene,-2.806502
Indonesia,2015,crude oil refining,Jet_Kerosene,-4.000033
Japan,2015,crude oil refining,Jet_Kerosene,-3.696384
Mexico,2015,crude oil refining,Jet_Kerosene,-4.40915
Middle East,2015,crude oil refining,Jet_Kerosene,-2.683226
Pakistan,2015,crude oil refining,Jet_Kerosene,-4.818507
