# File: IEA_CCUS_Projects_Database_2023.csv
# Title: Operational + Under Construction CCUS Capacity
# Units: MtCO2 per year
# Source: IEA 2023
# Column types: cccciiiicnnnccc
# ----------
Project name,Country,Partners,Project type,Announcement,FID,Operation,Suspension/decommissioning,Project Status,Project phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub
Corn LP Goldfield biorefinery (IA),United States,"Corn LP, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.18,0.215,Biofuels,Dedicated storage,Midwest carbon express
Corporation Energy Blue Ammonia/hydrogen Baidaratskaya Bay,Russian Federation,"Corporation Energy, Toyo Engineering Corporation, Itochu Plantech Inc, Others",Full chain,2021,,2025,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
Corporation Energy Blue Ammonia/hydrogen Seyakha,Russian Federation,"Corporation Energy, Toyo Engineering Corporation, Itochu Plantech Inc, Others",Full chain,2021,,2026,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
Corpus Christi offshore storage (TX),United States,"Port of Corpus Christi, 1845 Carbon Storage LLC, Strategic Sequestration Development LLC, and the University of Texas Bureau of Economic Geology’s Gulf Coast Carbon Center",Storage,2023,,,,Planned,,,,CO2 storage,Dedicated storage,Corpus Christi offshore storage (TX)
Cortez Pipeline (CO-TX),United States,Kinder Morgan,Transport,,,1983,,Operational,,19.3,19.3,CO2 transport,,Cortez Pipeline
CORY EfW plant,United Kingdom,Cory,Full chain,2021,,2026,,Planned,,1.5,1.5,Power and heat,Dedicated storage,
Coyote Clean Power Project (CO),United States,"8Rivers, Southern Ute Indian Reservation",Full chain,2021,2023,2025,,Planned,,0.865,0.865,Power and heat,Unknown/unspecified,
CRP Haifeng Project,People's Republic of China,China Resources Power,Capture,2013,,2030,,Planned,1,1,1,Power and heat,Unknown/unspecified,
Cstore 1,Australia,"deepC-store (dev and operator), Mitsui (for shipping), Technip Energies (TEN) (pre-FEED for hub facility)",T&S,2021,,,,Planned,,1.5,7.5,CO2 T&S,Dedicated storage,Cstore 1
CTSCo Project,Australia,Glencore Carbon Transport and Storage Company (CTSCo),Full chain,2010,2022,2023,,Under construction,,0.11,0.11,Power and heat,Dedicated storage,
DAC-1 Ector County (TX) train 1,United States,"Occidental, 1PointFive, Carbon Engineering",Full chain,2019,2022,2025,,Under construction,1,0.5,0.5,Direct Air Capture,EOR,
DAC-1 Ector County(TX) train 2,United States,"Occidental, 1PointFive, Carbon Engineering",Full chain,2019,,2026,,Planned,2,0.5,0.5,Direct Air Capture,EOR,
Dakota Ethanol Wentworth biorefinery (SD),United States,"Dakota Ethanol, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.22,0.257,Biofuels,Dedicated storage,Midwest carbon express
Dakota H2 Hub (ND),United States,"Bakken Energy, Mitsubishi HI (as Mitsubishi Power Americas), Mandan, Hidatsa, and Arikara Nation",Full chain,2021,,2027,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
Dalstur Energy Coal India coal hydrogen,India,"Dalstur Energy (Kolkata), Coal India (CIL)",Capture,2022,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
Damhead Creek CCGT power station,United Kingdom,Oilex,Capture,2022,,,,Planned,,,,Power and heat,Dedicated storage,Medway Hub CCS
D'Artagnan Dunkirk CO2 Hub Phase 1,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021,,2027,,Planned,1,3,3,CO2 transport,,D'Artagnan/Nautilus
D'Artagnan Dunkirk CO2 Hub Phase 2,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021,,2031,,Planned,2,1.4,1.4,CO2 transport,,D'Artagnan/Nautilus
D'Artagnan Dunkirk CO2 Hub Phase 3,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021,,2035,,Planned,3,5.6,5.6,CO2 transport,,D'Artagnan/Nautilus
Daya Bay CCS Hub,People's Republic of China,"Shell, ExxonMobil, CNOOC, and Guangdong Provincial Development & Reform Commission (JSA)",T&S,2022,,,,Planned,,10,10,CO2 T&S,Dedicated storage,Daya Bay CCS Hub
Decatur project (IL),United States,"ADM, Midwest Geological Sequestration Consortium",Full chain,2009,2011,2011,2014,Decommissioned,,0.33,0.33,Biofuels,Dedicated storage,
DelpHYnus hydrogen production Theddlethorpe,United Kingdom,Neptune Energy,Capture,2021,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Delphynus
Delta Rhyne Corridor_CO2,"Netherlands, Germany","Shell, Port of Rotterdam, bp, RWE, thyssenkrupp, LyondellBasell, Heidelberg Materials, Attero and Chemelot",Transport,2021,2024,2027,,Planned,,14.9,14.9,CO2 transport,,Connected to German Carbon Grid
Denbury / Mitsubishi Gulf Coast ammonia project (TBD),United States,"Mitsubishi, Denbury",T&S,2021,,,,Planned,,1.8,1.8,CO2 T&S,Dedicated storage,
Denbury Ascension Parish sequestration (LA),United States,Denbury Carbon Solutions,Storage,2022,,2025,,Planned,,12,12,CO2 storage,Dedicated storage,Denbury Ascension Parish sequestration
Denbury Delta Pipeline (MS),United States,Denbury Carbon Solutions,Transport,,,2007,,Operational,,,,CO2 transport,,Denbury Delta Pipeline
Denbury Free state Pipeline (MS),United States,Denbury Carbon Solutions,Transport,,,2006,,Operational,,,,CO2 transport,,Denbury Free state Pipeline
Denbury Green Pipeline (LA-TX),United States,Denbury Carbon Solutions,Transport,,,2010,,Operational,,16,16,CO2 transport,,Denbury Green Pipeline
Denbury NEJD Pipeline (MS-LA),United States,Denbury Carbon Solutions,Transport,,,2001,,Operational,,,,CO2 transport,,Denbury NEJD Pipeline
Denbury West Gwinville Pipeline (MS),United States,Denbury Carbon Solutions,Transport,,,2008,,Operational,,,,CO2 transport,,Denbury West Gwinville Pipeline
Donghae CCS Project,Korea,"SK Innovation, Honeywell Tech, Hyundai, Korea National Oil Corp.",Full chain,2022,2024,2026,,Planned,,0.4,0.4,Other fuel transformation,Dedicated storage,
Dos Bocas refinery,Mexico,Pemex,Capture,,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,
Dow Fort Saskatchewan ethylene facility (ALB),Canada,Dow Chemical,Capture,2021,,2029,,Planned,,,,Other industry,EOR,Alberta Carbon Trunk Line (ACTL)
Drax BECCS Project (Phase 1),United Kingdom,"Drax, Worley (FEED), Mitsubishi HI (tech)",Capture,2019,2024,2027,,Planned,1,4.3,4.3,Power and heat,Dedicated storage,Northern Endurance Partnership
Drax BECCS Project (Phase 2),United Kingdom,"Drax, Worley (FEED), Mitsubishi HI (tech)",Capture,2019,2024,2030,,Planned,2,3.7,3.7,Power and heat,Dedicated storage,Northern Endurance Partnership
Dry Fork Integrated Commercial CCS (WY),United States,"Membrane Technology and Research, Basin Electric Power Cooperative, Electric Power Research Institute, University of Wyoming, Bismarck",Full chain,2016,,2025,,Planned,,3,3,Power and heat,Unknown/unspecified,
East Calgary Region Carbon Sequestration Hub (ALB),Canada, Reconciliation Energy Transition Inc. (RETI),Storage,2022,,,,Planned,,5,5,CO2 storage,Dedicated storage,East Calgary Region Carbon Sequestration Hub (ALB)
Eastern Louisiana Clean Hydrogen Complex (LA) ,United States,Air Products,Full chain,2021,,2026,,Planned,,5,5,Hydrogen/ammonia,Dedicated storage,
Eastern Wyoming Sequestration Hub (WY),United States,Tallgrass energy,Storage,2022,,,,Planned,,,,CO2 T&S,Dedicated storage,Eastern Wyoming Sequestration Hub (WY)
ECO2CEE (previously Poland EU CCS Interconnector) phase 1,"Poland, Lithuania, Latvia","Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva",Transport,2021,,2028,,Planned,1,2.5,2.5,CO2 transport,,ECO2CEE
ECO2CEE (previously Poland EU CCS Interconnector) phase 2,"Poland, Lithuania, Latvia","Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva",Transport,2021,,2031,,Planned,2,6.5,6.5,CO2 transport,,ECO2CEE
ECO2CEE (previously Poland EU CCS Interconnector) phase 3,"Poland, Lithuania, Latvia","Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva",Transport,2021,,2033,,Planned,3,0.3,0.3,CO2 transport,,ECO2CEE
ECO2Normandy phase 1,France,"Air Liquide, Borealis, Esso, TotalEnergies, Yara",Transport,2023,,2028,,Planned,1,1.2,1.2,CO2 transport,,ECO2Normandy/Nautilus
ECO2Normandy phase 2,France,"Air Liquide, Borealis, Esso, TotalEnergies, Yara",Transport,2023,,2031,,Planned,2,1.2,1.2,CO2 transport,,ECO2Normandy/Nautilus
ECO2Normandy phase 3,France,"Air Liquide, Borealis, Esso, TotalEnergies, Yara",Transport,2023,,2036,,Planned,3,0.65,0.65,CO2 transport,,ECO2Normandy/Nautilus
Edmonton Blue Hydrogen plant (ALB) (Shell Polaris),Canada,"Mitsubishi Coporation, Shell Canada",Capture,2021,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Polaris CCS transport and storage hub
Eemshaven port terminal (NoordKaap) phase 1,Netherlands,"Cape Omega, Neptune Energy",T&S,2023,,2028,,Planned,1,8,8,CO2 T&S,Dedicated storage,Noorkaap
Enabling Production of Low Carbon Emissions Steel through CO2 Capture from Blast Furnace Gases (Cleaveland-Cliffs Burns Harbors steel plant DOE pre-FEED) (IN),United States,"Dastur International Inc., ON Clean Energy, Inc., University of Texas",Capture,2020,,,,Planned,,2,2,Iron and steel,Unknown/unspecified,
Enbridge Ingleside Energy Center Low carbon ammonia (TX),United States,"Enbridge, Humble Midstream",Full chain,2022,,2026,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
Eneos J-Power coal power capture,Japan,"Eneos Holdings, J-Power",Full chain,2022,2026,,,Planned,,,,Power and heat,Dedicated storage,
Energy Recovery Facility Edmonton EcoPark,United Kingdom,North London Waste Authority (NLWA),Capture,2020,,,,Planned,,,,Power and heat,Dedicated storage,Becton Thames Net Zero Initiative
ENI Casalborsetti (Ravenna) power plant (Ravenna phase 2),Italy,Eni,Capture,2020,,2027,,Planned,1,0.8,0.8,Power and heat,Dedicated storage,Ravenna Hub
ENI Venice bio-refinery Porto Marghera (Ravenna phase 2),Italy,Eni,Capture,2020,,2027,,Planned,,0.3,0.3,Other fuel transformation,Dedicated storage,Ravenna Hub
Enid fertiliser (OK),United States,"Koch Nitrogen Company, Chaparral Energy",Full chain,,,1982,,Operational,,0.68,0.68,Other industry,EOR,
EnLink midstream network (LA),United States,EnLink Midstream,Transport,2022,,2025,,Planned,,2,2,CO2 transport,,Enlink midstream network (LA)
Equinor Smeaheia storage,Norway,Equinord,T&S,2022,,,,Planned,,20,20,CO2 T&S,Dedicated storage,Wilhelmshaven/Smeahia
Errai storage project,Norway,"Horisont Energi, Neptune Energy",Storage,2021,2024,2026,,Planned,,4,8,CO2 storage,Dedicated storage,Errai storage project/Nautilus
Ervia Cork CCS -  Aghada CCGT,Ireland,"Aghata, Ervia Cork",Capture,2018,,2028,,Planned,,,,Power and heat,Unknown/unspecified,Ervia Cork CCS
Ervia Cork CCS - Irving refinery,Ireland,"Irving Oil, Ervia Cork",Capture,2018,,2028,,Planned,,2.5,2.5,Other fuel transformation,Unknown/unspecified,Ervia Cork CCS
Ervia Cork CCS - Whitegate CCGT,Ireland,"Whitegate, Ervia Cork",Capture,2018,,2028,,Planned,,,,Power and heat,Unknown/unspecified,Ervia Cork CCS
EU2NSEA,"Norway (storage), Belgium, Denmark, France, Germany, Latvia, the Netherlands, Poland, Sweden / Switzerland",Equinor and partners (incl. Heidelberg Materials),T&S,2022,,2029,,Planned,,20,20,CO2 T&S,Dedicated storage,EU2NSEA
Exshaw Cement Carbon Capture and Bow Valley Decarbonization (ALB),Canada,Lafarge Canada,Capture,2022,,,,Planned,,,,Cement,Unknown/unspecified,Bow River Hub (ALB)
Exxonmobil Antwerp Refinery CCS,Belgium,Exxonmobil,Capture,2021,2023,2030,,Planned,,,,Other fuel transformation,Unknown/unspecified,
ExxonMobil Baytown petrochemical site (TX),United States,"ExxonMobil, Honeywell (tech), Technip Energies (FEED)",Capture,2022,2024,2028,,Planned,,7,7,Other fuel transformation,Dedicated storage,Houston CCS Hub
Exxonmobil Botlek Rotterdam refinery,Netherlands,Exxonmobil,Capture,2019,,2024,,Planned,,,,Other fuel transformation,Dedicated storage,Porthos
ExxonMobil Fawley refinery,United Kingdom,"ExxonMobil (UK affilIate Esso), SGN, Macquarie",Capture,2021,,2030,,Planned,,2,2,Other fuel transformation,Dedicated storage,
ExxonMobil Vermilion parish storage (LA),United States,ExxonMobil,Storage,2022,,2025,,Planned,,2,2,CO2 storage,Dedicated storage,ExxonMobil Vermilion parish storage
Fidelis Project Cyclus Baton Rouge (LA),United States,"Fidelis new energy  (Cyclus Steam & Power, Gron Fuels, Capio Sequestration)",Full chain,2022,,2032,,Planned,,1,1,Power and heat,Dedicated storage,
Fluxys-Equinor Belgium-Norway Trunk Line ,"Belgium, Norway","Fluxys, Equinor",Transport,2022,2025,2030,,Planned,,20,40,CO2 transport,,Connected to German Carbon Grid
Freeport LNG CCS (TX),United States,"Talos Energy, Freeport LNG, Storegga",Full chain,2021,,2024,,Planned,,,,Natural gas processing,Dedicated storage,
Frevar KF / Kvitebjorn BIO-EL (Borg CO2),Norway,"Borg Havn, Kvitebjørn Bio-El and FREVAR",Capture,2019,,,,Planned,,0.135,0.135,Power and heat,Dedicated storage,Northern Lights
Frog Lake Power Plant (ALB),Canada,"Net Power, Kanata Clean Power, WSP Canada, VAULT 44.01",Capture,2021,2023,2025,,Planned,,0.7,0.8,Power and heat,Dedicated storage,Kanata CarbonHub
FS Lucas do Rio Verde ethanol biorefinery complex,Brazil,"Summit Agricultural group, Tapajós Participações S.A",Full chain,2021,,2030,,Planned,,,,Biofuels,Dedicated storage,
Future Biogas plants phase 1,United Kingdom,Future Biogas,Capture,2021,,2024,,Planned,1,0.2,0.2,Biofuels,Dedicated storage,Northern Lights
Future Biogas plants phase 2,United Kingdom,Future Biogas,Capture,2021,,2028,,Planned,2,0.345,0.345,Biofuels,Dedicated storage,Northern Lights
G2 Net-Zero (LA),United States,"Net Power, Siemens, EJM",Capture,2020,,2027,,Planned,,4,4,Natural gas processing,Unknown/unspecified,
Gasha Mega-project gas concession,United Arab Emirates,"ADNOC (55%), Eni (25%), Wintershall Dea (10%), OMV (5%), Lukoil (5%)",Full chain,2021,2023,2025,,Planned,,,,Natural gas processing,Unknown/unspecified,
Genesee CCS (ALB),Canada,"Capital Power, Enbridge",Capture,2021,2023,2027,,Planned,,3,3,Power and heat,Dedicated storage, Open Access Wabamun Carbon Hub
Geothermal CCS Croatia,Croatia,Hydrocarbons Agency Croatia,T&S,2022,2025,2031,,Planned,,0.63,0.63,CO2 T&S,Dedicated storage,Geothermal CCS Croatia
Geovault Carnarvon Basin CCS assessment,Australia,Buru Energy (Geovault) and Energy Resources Ltd,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,
Gerald Gentleman Station Carbon Capture (NE),United States,"ION Engineering, Nebraska Public Power District, Siemens, Koch Modular, Sargent & Lundy",Capture,2013,,2025,,Planned,,3.8,3.8,Power and heat,EOR,
German carbon transport grid,Germany,"Open Grid Europe (OGE), TES",Transport,2022,2023,2028,,Planned,,18.8,25.8,CO2 transport,,German Carbon transport grid
Ghent Carbon Hub,Belgium,"Fluxys, ArcelorMittal, North Sea Port",Transport,2022,,2027,,Planned,,6,6,CO2 transport,,Connected to German Carbon Grid
Glacial Lakes Energy Aberdeen biorefinery (SD),United States,"Glacial Lakes Energy, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.12,0.14,Biofuels,Dedicated storage,Midwest carbon express
Glacial Lakes Energy Mina biorefinery (SD),United States,"Glacial Lakes Energy, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.34,0.4,Biofuels,Dedicated storage,Midwest carbon express
Glacial Lakes Energy Watertown biorefinery (SD),United States,"Glacial Lakes Energy, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.32,0.372,Biofuels,Dedicated storage,Midwest carbon express
Glacier Gas Plant CCS Full capacity (ALB),Canada,"Advantage Entropy Inc. ABC Engineering, University of Regina",Full chain,2021,2023,2023,,Planned,1,0.2,0.2,Natural gas processing,Unknown/unspecified,
Go4ECOPlant Lafarge Polska Kujawy plant,Poland,"Lafarge Cement Polska (Holcim Group), Air Liquide",Capture,2022,,2027,,Planned,,,,Cement,Dedicated storage,Poland EU CCS Interconnector
Golden Grain Energy Mason City biorefinery (IA),United States,"Golden Grain Energy, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.29,0.343,Biofuels,Dedicated storage,Midwest carbon express
Gorgon CCS,Australia,"Chevron (47.3 per cent, operator), Shell (25 per cent), ExxonMobil (25 per cent), Osaka Gas (1.25 per cent), Tokyo Gas (1 per cent), Chubu Electric Power (0.417 per cent)",Full chain,2009,2009,2019,,Operational,,3.4,4,Natural gas processing,Dedicated storage,
Grain CCGT power station,United Kingdom,Oilex,Capture,2022,,,,Planned,,,,Power and heat,Dedicated storage,Medway Hub CCS
Grande Prairie Net Zero Gateway (ALB),Canada, Keyera Corp.  and Entropy Inc. ,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,"Grande Prairie Net Zero Gateway, NorthRiver Midstream Inc. (ALB)"
Granite Falls biorefinery (MN),United States,"Granite Falls Energy, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.15,0.18,Biofuels,Dedicated storage,Midwest carbon express
Great Plains Synfuel Plant (ND) Weyburn-Midale (SK),United States,"Dakota Gasification company, Cenovus, Whitecap, Cardinal",Full chain,1997,,2000,,Operational,,3,3,Other fuel transformation,EOR,Weyburn storage unit
Green Plains Atkinson biorefinery (NE),United States,"Green Plains Atkinson, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.14,0.157,Biofuels,Dedicated storage,Midwest carbon express
Green Plains Central City biorefinery (NE),United States,"Green Plains Central City, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.3,0.332,Biofuels,Dedicated storage,Midwest carbon express
Green Plains Fairmont biorefinery (MN),United States,"Green Plains Fairmont, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.3,0.343,Biofuels,Dedicated storage,Midwest carbon express
Green Plains Otter Tail biorefinery (MN),United States,"Green Plains Otter Tail, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.172,0.172,Biofuels,Dedicated storage,Midwest carbon express
Green Plains Shenandoah biorefinery (MN),United States,"Green Plains Shenandoah, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.21,0.235,Biofuels,Dedicated storage,Midwest carbon express
Green Plains Superior biorefinery (IA),United States,"Green Plains Superior, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.15,0.172,Biofuels,Dedicated storage,Midwest carbon express
Green Plains Wood River biorefinery (NE),United States,"Green Plains Wood River, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.31,0.346,Biofuels,Dedicated storage,Midwest carbon express
Green Plains York biorefinery (NE),United States,"Green Plains York, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.13,0.143,Biofuels,Dedicated storage,Midwest carbon express
GreenGen Tianjin Huaneng IGCC Project Phase III,People's Republic of China,Huaneng,Full chain,2011,,2030,,Planned,1,2,2,Power and heat,Unknown/unspecified,
Greenview Region CCS Project (ALB),Canada, ARC Resources Ltd. ,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Greenview Region CCS Project (ALB)
Guanghui Energy CCUS integation project Phase 1,People's Republic of China,"Guanghui Energy CO., Ltd",Full chain,2022,2022,,,Under construction,,0.1,0.1,Other fuel transformation,EOR,
Gulf Coast Sequestration Hub Lake Charles (LA),United States,Gulf Coast Sequestration,Storage,2020,,2030,,Planned,,2.7,2.7,CO2 storage,Dedicated storage,Gulf Coast Sequestration Hub
Gulf of Mexico CCS Partnership Hub,United States,"Carbon Zero (Storage), Cox (field owner), Crescent Midstream (pipeline operator), Repsol",T&S,2022,,,,Planned,,,,CO2 T&S,Dedicated storage,Gulf of Mexico CCS Partnership Hub
Gundih gas field EGR,Indonesia,"Pertamina, ITB, the Japan Group, Exxon?",Full chain,2020,,2026,,Planned,,0.3,0.3,Natural gas processing,EOR,
H21 Leeds City Gate - Teesside hydrogen,United Kingdom,Northern Gas Networks,Capture,2014,,2035,,Planned,,1.5,1.5,Hydrogen/ammonia,Dedicated storage,
H2BE,Belgium,"Equinor, Engie",Capture,2021,,2030,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
H2biscus,Malaysia,"SEDC, Lotte Chemical, Samsung Engineering, POSCO
",Capture,2022,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
H2GE Rostock,Germany,"Equinor, VNG",Capture,2022,,,,Planned,,2,2,Hydrogen/ammonia,Dedicated storage,Northern Lights
H2morrow,Germany,"OGE, Equinor, Thyssenkrupp Steel Europe",Capture,2019,,2027,,Planned,,1.9,1.9,Hydrogen/ammonia,Dedicated storage,
H2NorthEast (Kellas Midstream Teesside Blue Hydrogen) Phase 1,United Kingdom,Kellas Midestream,Capture,2021,2024,2027,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Northern Endurance Partnership
H2NorthEast (Kellas Midstream Teesside Blue Hydrogen) Phase 2,United Kingdom,Kellas Midestream,Capture,2021,,2030,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Northern Endurance Partnership
H2Perth Woodside,Australia,"Woodside, McDermott (pre-FEED)",Full chain,2021,2023,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
Hackberry Carbon Sequestration (HCS) project at Cameron LNG (LA),United States,"TotalEnergies, Sempra Infrastructure, Mitsui, and Mitsubishi",Full chain,2022,,,,Planned,,2,2,Natural gas processing,Dedicated storage,
Hanson UK Padeswood Plant CCS,United Kingdom,"Heidelberg Materials, Hanson, Mitsubishi HI (pre-FEED)",Capture,2021,2023,2028,,Planned,,0.8,0.8,Cement,Dedicated storage,Liverpool Bay CO2 storage
Haru Oni HIF Chile eFuels Magallanes phase 1,Chile,"HIF, Porsche, Siemens Energy, Enel Green Power, Enap, Empresas Gasco, ExxconMobil, Global thermostat",CCU,2021,2023,2025,,Planned,1,0.23,0.23,Direct Air Capture,Use,
Haru Oni HIF Chile eFuels Magallanes phase 2,Chile,"HIF, Porsche, Siemens Energy, Enel Green Power, Enap, Empresas Gasco, ExxconMobil, Global thermostat",CCU,2021,,2026,,Planned,2,1.3,1.3,Direct Air Capture,Use,
Haynesville Shale natural gas (LA),United States,"CapturePoint Solutions, Energy transfer",Capture,2022,2023,,,Planned,,,,Natural gas processing,Dedicated storage,CENLA hub
"Heartland Greenway (IA, IL, MN, NE, SD) ",United States,"Valero, Black rock, Navigator",Transport,2021,2023,2025,,Planned,,10,15,CO2 transport,,Heartland Greenway
Heidelberg Materials CBR Antoing Cement Plant (Project Anthemis),Belgium,Heidelberg Materials,Capture,2023,,2028,,Planned,,0.8,0.8,Cement,Dedicated storage,
Heidelberg Materials Mitchell plant (IN),United States,Heidelberg Materials,Capture,2022,,,,Planned,,2,2,Cement,Dedicated storage,Mitchell CarbonSAFE (IL)
Heidelberg Materials's Hanover cement plant (LEILAC 2),Germany,"Heidelberg Materials, Calix",Capture,2021,2023,2025,,Planned,,0.1,0.1,Cement,Use,
HERO basalt CarbonSafe (OR),United States,University of Wyoming,Storage,2023,,,,Planned,,,,CO2 storage,Dedicated storage,HERO basalt CarbonSafe (OR)
Heron Lake biorefinery (MN),United States,"Heron Lake BioEnergy, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.16,0.186,Biofuels,Dedicated storage,Midwest carbon express
HIF USA eFuels Matagorda County (TX),United States,HIF USA,CCU,2021,2023,2026,,Planned,,2.2,2.2,Direct Air Capture,Use,
Highwater Ethanol Lamberton biorefinery (MN),United States,"Highwater Ethanol Lamberton, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.13,0.157,Biofuels,Dedicated storage,Midwest carbon express
Hinton Bioenergy CCS project (ALB),Canada," Vault 44.01 Ltd, West Fraser, TorchLight Bioresources",Capture,2022,,,,Planned,,1.3,1.3,Other industry,Unknown/unspecified,
Holcim Exshaw Plant,Canada,Holcim Group and partners,Full chain,2023,,2030,,Planned,,1.3,1.3,Cement,Dedicated storage,
Holcim Koromacno Plant,Croatia,Holcim Group,Capture,2023,,2027,,Planned,,0.4,0.4,Cement,Dedicated storage,Geothermal CCS Croatia
Holcim Milaki Plant,Greece,Holcim Group,Capture,2023,,2027,,Planned,,1,1,Cement,Dedicated storage,Prinos CO2 storage
Holcim Oburg cement plant,Belgium,Holcim Group,Capture,2022,,,,Planned,,1.3,1.3,Cement,Dedicated storage,
Homeland Energy Solutions Lawler biorefinery (IA),United States,"Homeland Energy Solutions, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.49,0.572,Biofuels,Dedicated storage,Midwest carbon express
Horizon H2 capture tailings CCS (ALB),Canada,Canadian Natural Resources Ltd,CCU,,,2009,,Operational,,0.438,0.438,Other fuel transformation,Use,
Huaneng Zhengning coal power plant,People's Republic of China,China Huaneng,CCU,2021,2022,2023,,Under construction,,1.5,1.5,Power and heat,Use,
Husker Ag Plainview biorefinery (NE),United States,"Husker Ag, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.27,0.315,Biofuels,Dedicated storage,Midwest carbon express
H-vision plant 1,Netherlands,H-Vision consortium,Capture,2018,,2027,,Planned,1,1.3,1.3,Hydrogen/ammonia,Dedicated storage,Porthos
H-vision plant 2,Netherlands,H-Vision consortium,Capture,2018,,2030,,Planned,2,1.3,1.3,Hydrogen/ammonia,Dedicated storage,Porthos
HyDEMO (shelved??),Norway,Equinor,Capture,2020,2025,,,Planned,,0.15,0.15,Hydrogen/ammonia,Dedicated storage,
Hydrogen 2 Magnum (H2M),Netherlands,"Nuon (Vattenfall sub.), Equinor, Gasunie",Capture,2017,,2025,,Planned,,1.3,1.3,Hydrogen/ammonia,Dedicated storage,Northern Lights
Hydrogen Energy Supply Chain (HESC) Project Full scale (CarbonNET),Australia,"Kawasaki heavy industries, J-POWER, Iwatani Corporation, Marubeni Corporation, AGL, Sumitomo Corporation",Capture,2018,,2030,,Planned,1,1.8,4.39,Hydrogen/ammonia,Dedicated storage,CarbonNET
Hydrogen to Humber (H2H) Saltend,United Kingdom,"Equinor, SSE Thermal, Linde (FEED), BOC (Operation and maintenance)",Capture,2020,2023,2027,,Planned,,1.4,1.4,Hydrogen/ammonia,Dedicated storage,Northern Endurance Partnership
HyNet Hydrogen Production Project (HPP) Stanlow (Hynet Nortwest phase 1),United Kingdom,"Vertex Hydrogen (Essar Oil and progressive energy), Johnson Matthey",Capture,2019,2023,2026,,Planned,,0.81,0.81,Hydrogen/ammonia,Dedicated storage,Liverpool Bay CO2 storage
Hynet Northwest phase 2,United Kingdom,,Capture,2019,,2030,,Planned,,8.1,8.1,Hydrogen/ammonia,Dedicated storage,Liverpool Bay CO2 storage
Hynovi project (Vicat Montalieu plant),France,Vicat,CCU,2021,,2025,,Planned,,0.5,0.5,Cement,Use,
Hyskies Vattenfall CHP Lanzatech,Sweden,"Vattenfall, SAS, Shell, Lanzatech",CCU,2021,,2027,,Planned,,,,Power and heat,Use,
Illinois Clean Fuels Project (IL),United States,"Illinois clean fuels,",Capture,2013,2024,2026,,Planned,,8.1,9.7,Biofuels,Dedicated storage,
Illinois Industrial Carbon Capture and Storage (IL),United States,ADM,Full chain,2009,2011,2017,,Operational,,0.5,1,Biofuels,Dedicated storage,
