# File: Diet_3C_Ref.csv
# Title: 3C Ref diet by region and sector
# Units: Pcal
# Description: Need 2020 and 2025 values
# Column types: cccnn
# ----------
scenario,region,technology,year,value
3C,Argentina,NutsSeeds,2015,0.0685418
3C,Argentina,NutsSeeds,2020,0.0703418
3C,Argentina,NutsSeeds,2025,0.0740904
3C,Argentina,OilCrop,2015,2.91058
3C,Argentina,OilCrop,2020,3.00199
3C,Argentina,OilCrop,2025,3.1767
3C,Argentina,OtherGrain,2015,0.676588
3C,Argentina,OtherGrain,2020,0.710782
3C,Argentina,OtherGrain,2025,0.718686
3C,Argentina,OtherMeat_Fish,2015,0.520748
3C,Argentina,OtherMeat_Fish,2020,0.530877
3C,Argentina,OtherMeat_Fish,2025,0.554306
3C,Argentina,Pork,2015,1.24639
3C,Argentina,Pork,2020,1.2759
3C,Argentina,Pork,2025,1.33629
3C,Argentina,Poultry,2015,2.2766
3C,Argentina,Poultry,2020,2.32486
3C,Argentina,Poultry,2025,2.44217
3C,Argentina,Rice,2015,0.995132
3C,Argentina,Rice,2020,1.04311
3C,Argentina,Rice,2025,1.05131
3C,Argentina,RootTuber,2015,1.04174
3C,Argentina,RootTuber,2020,1.08989
3C,Argentina,RootTuber,2025,1.09632
3C,Argentina,SheepGoat,2015,0.089906
3C,Argentina,SheepGoat,2020,0.0919106
3C,Argentina,SheepGoat,2025,0.0959575
3C,Argentina,Soybean,2015,0.706239
3C,Argentina,Soybean,2020,0.725859
3C,Argentina,Soybean,2025,0.765272
3C,Argentina,SugarCrop,2015,4.47796
3C,Argentina,SugarCrop,2020,4.57088
3C,Argentina,SugarCrop,2025,4.77921
3C,Argentina,Vegetables,2015,0.52616
3C,Argentina,Vegetables,2020,0.537694
3C,Argentina,Vegetables,2025,0.562281
3C,Argentina,Wheat,2015,9.21105
3C,Argentina,Wheat,2020,9.71757
3C,Argentina,Wheat,2025,9.86535
3C,Australia_NZ,Beef,2015,1.11276
3C,Australia_NZ,Beef,2020,1.20332
3C,Australia_NZ,Beef,2025,1.25657
3C,Australia_NZ,Corn,2015,0.303111
3C,Australia_NZ,Corn,2020,0.324556
3C,Australia_NZ,Corn,2025,0.334004
3C,Australia_NZ,Dairy,2015,3.64203
3C,Australia_NZ,Dairy,2020,3.93688
3C,Australia_NZ,Dairy,2025,4.10733
3C,Australia_NZ,FiberCrop,2015,0.442374
3C,Australia_NZ,FiberCrop,2020,0.478455
3C,Australia_NZ,FiberCrop,2025,0.499567
3C,Australia_NZ,Fruits,2015,0.754164
3C,Australia_NZ,Fruits,2020,0.81552
3C,Australia_NZ,Fruits,2025,0.850544
3C,Australia_NZ,Legumes,2015,0.0893089
3C,Australia_NZ,Legumes,2020,0.0977867
3C,Australia_NZ,Legumes,2025,0.103277
3C,Australia_NZ,MiscCrop,2015,0.39595
3C,Australia_NZ,MiscCrop,2020,0.428564
3C,Australia_NZ,MiscCrop,2025,0.447669
3C,Australia_NZ,NutsSeeds,2015,0.616773
3C,Australia_NZ,NutsSeeds,2020,0.66887
3C,Australia_NZ,NutsSeeds,2025,0.704791
3C,Australia_NZ,OilCrop,2015,2.23496
3C,Australia_NZ,OilCrop,2020,2.43309
3C,Australia_NZ,OilCrop,2025,2.56733
3C,Australia_NZ,OilPalm,2015,0.5726
3C,Australia_NZ,OilPalm,2020,0.621096
3C,Australia_NZ,OilPalm,2025,0.64984
3C,Australia_NZ,OtherGrain,2015,0.974325
3C,Australia_NZ,OtherGrain,2020,1.06333
3C,Australia_NZ,OtherGrain,2025,1.1057
3C,Australia_NZ,OtherMeat_Fish,2015,1.03359
3C,Australia_NZ,OtherMeat_Fish,2020,1.11717
3C,Australia_NZ,OtherMeat_Fish,2025,1.16485
3C,Australia_NZ,Pork,2015,0.82037
3C,Australia_NZ,Pork,2020,0.890991
3C,Australia_NZ,Pork,2025,0.933112
3C,Australia_NZ,Poultry,2015,1.61991
3C,Australia_NZ,Poultry,2020,1.75913
3C,Australia_NZ,Poultry,2025,1.84248
3C,Australia_NZ,Rice,2015,0.681801
3C,Australia_NZ,Rice,2020,0.730667
3C,Australia_NZ,Rice,2025,0.747639
3C,Australia_NZ,RootTuber,2015,0.795653
3C,Australia_NZ,RootTuber,2020,0.854936
3C,Australia_NZ,RootTuber,2025,0.876791
3C,Australia_NZ,SheepGoat,2015,0.584532
3C,Australia_NZ,SheepGoat,2020,0.632628
3C,Australia_NZ,SheepGoat,2025,0.66051
3C,Australia_NZ,Soybean,2015,0.161608
3C,Australia_NZ,Soybean,2020,0.175974
3C,Australia_NZ,Soybean,2025,0.185674
3C,Australia_NZ,SugarCrop,2015,3.20054
3C,Australia_NZ,SugarCrop,2020,3.47044
3C,Australia_NZ,SugarCrop,2025,3.632
3C,Australia_NZ,Vegetables,2015,0.527554
3C,Australia_NZ,Vegetables,2020,0.570247
3C,Australia_NZ,Vegetables,2025,0.594579
3C,Australia_NZ,Wheat,2015,4.78568
3C,Australia_NZ,Wheat,2020,5.2032
3C,Australia_NZ,Wheat,2025,5.40331
3C,Brazil,Beef,2015,8.54916
3C,Brazil,Beef,2020,8.79687
3C,Brazil,Beef,2025,9.09096
3C,Brazil,Corn,2015,12.69
3C,Brazil,Corn,2020,13.2882
3C,Brazil,Corn,2025,13.4843
3C,Brazil,Dairy,2015,14.7228
3C,Brazil,Dairy,2020,15.1305
3C,Brazil,Dairy,2025,15.6224
3C,Brazil,FiberCrop,2015,1.81172
3C,Brazil,FiberCrop,2020,1.88318
3C,Brazil,FiberCrop,2025,1.96551
3C,Brazil,Fruits,2015,6.63041
3C,Brazil,Fruits,2020,6.82244
3C,Brazil,Fruits,2025,7.05177
3C,Brazil,Legumes,2015,6.77985
3C,Brazil,Legumes,2020,7.03062
3C,Brazil,Legumes,2025,7.32398
3C,Brazil,MiscCrop,2015,0.519515
3C,Brazil,MiscCrop,2020,0.535055
3C,Brazil,MiscCrop,2025,0.553492
3C,Brazil,NutsSeeds,2015,0.641905
3C,Brazil,NutsSeeds,2020,0.669325
3C,Brazil,NutsSeeds,2025,0.703209
3C,Brazil,OilCrop,2015,3.93642
3C,Brazil,OilCrop,2020,4.19113
3C,Brazil,OilCrop,2025,4.45664
3C,Brazil,OilPalm,2015,3.52484
3C,Brazil,OilPalm,2020,3.64793
3C,Brazil,OilPalm,2025,3.78544
3C,Brazil,OtherGrain,2015,5.10074
3C,Brazil,OtherGrain,2020,5.32836
3C,Brazil,OtherGrain,2025,5.40348
3C,Brazil,OtherMeat_Fish,2015,1.68383
3C,Brazil,OtherMeat_Fish,2020,1.72992
3C,Brazil,OtherMeat_Fish,2025,1.78543
3C,Brazil,Pork,2015,7.08715
3C,Brazil,Pork,2020,7.31085
3C,Brazil,Pork,2025,7.57014
3C,Brazil,Poultry,2015,10.5836
3C,Brazil,Poultry,2020,10.908
3C,Brazil,Poultry,2025,11.2938
3C,Brazil,Rice,2015,15.9719
3C,Brazil,Rice,2020,16.6484
3C,Brazil,Rice,2025,16.865
3C,Brazil,RootTuber,2015,7.78587
3C,Brazil,RootTuber,2020,8.07526
3C,Brazil,RootTuber,2025,8.12779
3C,Brazil,SheepGoat,2015,0.168924
3C,Brazil,SheepGoat,2020,0.173922
3C,Brazil,SheepGoat,2025,0.179739
3C,Brazil,Soybean,2015,16.5653
3C,Brazil,Soybean,2020,17.1798
3C,Brazil,Soybean,2025,17.9596
3C,Brazil,SugarCrop,2015,23.4704
3C,Brazil,SugarCrop,2020,24.1992
3C,Brazil,SugarCrop,2025,25.0791
3C,Brazil,Vegetables,2015,2.03877
3C,Brazil,Vegetables,2020,2.09903
3C,Brazil,Vegetables,2025,2.17066
3C,Brazil,Wheat,2015,19.1717
3C,Brazil,Wheat,2020,20.0339
3C,Brazil,Wheat,2025,20.39
3C,Canada,Beef,2015,0.984809
3C,Canada,Beef,2020,1.04246
3C,Canada,Beef,2025,1.07425
3C,Canada,Corn,2015,1.42655
3C,Canada,Corn,2020,1.50826
3C,Canada,Corn,2025,1.53504
3C,Canada,Dairy,2015,2.83008
3C,Canada,Dairy,2020,2.99637
3C,Canada,Dairy,2025,3.08709
3C,Canada,FiberCrop,2015,0.0041062
3C,Canada,FiberCrop,2020,0.00434612
3C,Canada,FiberCrop,2025,0.00447544
3C,Canada,Fruits,2015,1.05902
3C,Canada,Fruits,2020,1.12211
3C,Canada,Fruits,2025,1.15619
3C,Canada,Legumes,2015,0.767846
3C,Canada,Legumes,2020,0.815418
3C,Canada,Legumes,2025,0.843625
3C,Canada,MiscCrop,2015,0.299473
3C,Canada,MiscCrop,2020,0.317868
3C,Canada,MiscCrop,2025,0.328095
3C,Canada,NutsSeeds,2015,0.863604
3C,Canada,NutsSeeds,2020,0.919417
3C,Canada,NutsSeeds,2025,0.960108
3C,Canada,OilCrop,2015,3.87579
3C,Canada,OilCrop,2020,4.13504
3C,Canada,OilCrop,2025,4.31246
3C,Canada,OilPalm,2015,0
3C,Canada,OilPalm,2020,0
3C,Canada,OilPalm,2025,0
3C,Canada,OtherGrain,2015,0.960228
3C,Canada,OtherGrain,2020,1.01918
3C,Canada,OtherGrain,2025,1.03805
3C,Canada,OtherMeat_Fish,2015,0.435453
3C,Canada,OtherMeat_Fish,2020,0.460751
3C,Canada,OtherMeat_Fish,2025,0.474245
3C,Canada,Pork,2015,1.98611
3C,Canada,Pork,2020,2.10744
3C,Canada,Pork,2025,2.17549
3C,Canada,Poultry,2015,1.76195
3C,Canada,Poultry,2020,1.86867
3C,Canada,Poultry,2025,1.92881
3C,Canada,Rice,2015,0.951442
3C,Canada,Rice,2020,1.00384
3C,Canada,Rice,2025,1.01915
3C,Canada,RootTuber,2015,1.3576
3C,Canada,RootTuber,2020,1.43444
3C,Canada,RootTuber,2025,1.45182
3C,Canada,SheepGoat,2015,0.0556421
3C,Canada,SheepGoat,2020,0.058906
3C,Canada,SheepGoat,2025,0.0611949
3C,Canada,Soybean,2015,0.238526
3C,Canada,Soybean,2020,0.255104
3C,Canada,Soybean,2025,0.26613
3C,Canada,SugarCrop,2015,3.34909
3C,Canada,SugarCrop,2020,3.55055
3C,Canada,SugarCrop,2025,3.67093
3C,Canada,Vegetables,2015,0.627072
3C,Canada,Vegetables,2020,0.664315
