# File:GCAM_Near_Term_Intake_Reference.csv
# Title: GCAM Ref diet by region and sector
# Units: Pcal
# Description: Need 2025 or more recent projection values for near term calibration to have delayed scenarios. Values here were pulled from a GCAM Ref with no dietary change from query food consumption by type (specific)
# Column types: cccnnn
# ----------
scenario,region,technology,2020,2021,2025
reference,Colombia,RootTuber,2.28527,2.2941,2.33223
reference,Colombia,SugarCrop,7.24299,7.3617,7.7357
reference,Colombia,Wheat,3.07232,3.19828,3.27291
reference,EU-12,Corn,1.73552,1.76879,1.75364
reference,EU-12,Fruits,2.15653,2.11135,2.1289
reference,EU-12,Vegetables,1.60927,1.55745,1.57127
reference,EU-12,MiscCrop,1.08356,1.16886,1.18361
reference,EU-12,FiberCrop,1.19E-04,1.04E-04,1.07E-04
reference,EU-12,OilCrop,6.27083,6.79182,6.85368
reference,EU-12,OilPalm,0.130423,0.132403,0.133887
reference,EU-12,Soybean,0.847579,0.865569,0.872911
reference,EU-12,OtherGrain,5.72692,5.66315,5.63211
reference,EU-12,Beef,0.511508,0.481894,0.48428
reference,EU-12,Dairy,10.0509,10.7227,10.8062
reference,EU-12,OtherMeat_Fish,1.65748,1.69485,1.70982
reference,EU-12,Pork,8.70036,8.63377,8.70302
reference,EU-12,Poultry,3.63741,3.52511,3.5544
reference,EU-12,SheepGoat,0.10942,0.115257,0.116058
reference,EU-12,Legumes,0.659549,0.858754,0.869796
reference,EU-12,NutsSeeds,0.743932,0.826482,0.833169
reference,EU-12,Rice,0.777093,0.792311,0.788969
reference,EU-12,RootTuber,3.22637,3.0604,3.05269
reference,EU-12,SugarCrop,8.31679,8.64208,8.7255
reference,EU-12,Wheat,19.4238,19.5342,19.4029
reference,EU-15,Corn,6.49182,6.36031,6.38745
reference,EU-15,Fruits,12.0606,11.9635,12.112
reference,EU-15,Vegetables,6.97592,6.94303,7.03433
reference,EU-15,MiscCrop,7.65289,7.62159,7.74184
reference,EU-15,FiberCrop,0.127597,0.162012,0.164253
reference,EU-15,OilCrop,31.9435,30.6954,31.0698
reference,EU-15,OilPalm,1.68568,1.70326,1.73211
