# File: AgMIP_BAU_Diet2020.csv
# Title: BAU scenario 2020 diet by region and sector
# Units: Pcal
# Description: Since we changed to exogenous diet targets and new AgMIP scenarios start after 2020 so we need to reconcile 2020 diet values
# Column types: ccn
# ----------
Region,GCAM_commodity,2020
South America_Southern,SheepGoat,0.118746
South America_Southern,Legumes,1.51071
South America_Southern,NutsSeeds,0.551506
South America_Southern,Rice,8.90759
South America_Southern,RootTuber,5.45609
South America_Southern,SugarCrop,7.66297
South America_Southern,Wheat,13.2202
South Asia,Corn,3.69764
South Asia,Fruits,3.74423
South Asia,Vegetables,3.82578
South Asia,MiscCrop,1.76223
South Asia,FiberCrop,0.0688459
South Asia,OilCrop,5.53922
South Asia,OilPalm,6.50869
South Asia,Soybean,4.2833
South Asia,OtherGrain,1.15549
South Asia,Beef,0.8429
South Asia,Dairy,4.61166
South Asia,OtherMeat_Fish,2.94301
South Asia,Pork,0.069297
South Asia,Poultry,1.34437
South Asia,SheepGoat,0.603521
South Asia,Legumes,5.15654
South Asia,NutsSeeds,0.877428
South Asia,Rice,97.0492
South Asia,RootTuber,6.77572
South Asia,SugarCrop,9.03428
South Asia,Wheat,27.1134
South Korea,Corn,1.37223
South Korea,Fruits,0.817258
South Korea,Vegetables,1.72182
South Korea,MiscCrop,0.178023
South Korea,FiberCrop,0.199227
South Korea,OilCrop,2.2449
South Korea,OilPalm,1.32995
South Korea,Soybean,3.9645
South Korea,OtherGrain,0.838542
South Korea,Beef,0.795931
South Korea,Dairy,0.810139
South Korea,OtherMeat_Fish,1.988
South Korea,Pork,1.88603
South Korea,Poultry,1.25402
South Korea,SheepGoat,0.012915
South Korea,Legumes,0.174754
South Korea,NutsSeeds,0.709304
South Korea,Rice,10.5113
South Korea,RootTuber,0.553335
South Korea,SugarCrop,3.82038
South Korea,Wheat,5.74071
Southeast Asia,Corn,14.319
Southeast Asia,Fruits,11.9841
Southeast Asia,Vegetables,8.73017
Southeast Asia,MiscCrop,1.547
Southeast Asia,FiberCrop,0.385392
Southeast Asia,OilCrop,11.1652
Southeast Asia,OilPalm,7.27501
Southeast Asia,Soybean,8.4515
Southeast Asia,OtherGrain,3.49511
Southeast Asia,Beef,2.06978
Southeast Asia,Dairy,3.64823
Southeast Asia,OtherMeat_Fish,9.89913
Southeast Asia,Pork,17.7589
Southeast Asia,Poultry,8.16861
Southeast Asia,SheepGoat,0.270174
Southeast Asia,Legumes,5.60251
Southeast Asia,NutsSeeds,5.65821
Southeast Asia,Rice,140.008
Southeast Asia,RootTuber,9.12944
Southeast Asia,SugarCrop,29.7174
Southeast Asia,Wheat,18.6015
Taiwan,Corn,0.444823
Taiwan,Fruits,0.589825
Taiwan,Vegetables,0.545075
Taiwan,MiscCrop,0.174016
Taiwan,OilCrop,0.336482
Taiwan,OilPalm,0.627681
Taiwan,Soybean,3.01902
Taiwan,OtherGrain,0.383419
Taiwan,Beef,0.101675
Taiwan,Dairy,0.443299
Taiwan,OtherMeat_Fish,0.29464
Taiwan,Pork,1.60553
Taiwan,Poultry,0.920385
Taiwan,SheepGoat,0.0261678
Taiwan,Legumes,0.161772
Taiwan,NutsSeeds,0.461027
Taiwan,Rice,2.69781
Taiwan,RootTuber,0.166806
Taiwan,SugarCrop,1.59087
Taiwan,Wheat,2.44376
USA,Corn,13.5306
USA,Fruits,7.78259
USA,Vegetables,4.88893
USA,MiscCrop,2.6061
USA,FiberCrop,1.02998
USA,OilCrop,8.92329
USA,OilPalm,0.114855
USA,Soybean,32.0557
USA,OtherGrain,13.066
USA,Beef,10.2161
USA,Dairy,33.1285
USA,OtherMeat_Fish,3.8994
USA,Pork,11.3518
USA,Poultry,19.1044
USA,SheepGoat,0.25048
USA,Legumes,3.42178
USA,NutsSeeds,8.93417
USA,Rice,7.17741
USA,RootTuber,10.5131
USA,SugarCrop,31.3616
USA,Wheat,58.2628
