# File: AgMIP_EL2_intake_targets_foodgroup_r.csv
# Title: AgMIP EL2 dietary targets and 2020 intake
# Units: kcal/d_w
# Comments: preprocessing and aggregation were performed in gcamfaostat
# Source: AgMIP EL2 2025
# Author: xz (Mar 2025)
# Column types: cccicn
# ----------
diet_scenario,unit,measure,GCAM_region_ID,AgMIP_food_group_agg,value
FLX,kcal/d_w,targetEL2,12,Oils,472.7818417
FLX,kcal/d_w,targetEL2,12,Others,18.49115954
FLX,kcal/d_w,targetEL2,12,PlantProtein,475.6694273
FLX,kcal/d_w,targetEL2,12,Ruminant,2.059870557
FLX,kcal/d_w,targetEL2,12,Staples,849.5503361
FLX,kcal/d_w,targetEL2,12,Sugar,90.85397651
FLX,kcal/d_w,targetEL2,13,Dairy,176.3019197
FLX,kcal/d_w,targetEL2,13,Fish,28.11954103
FLX,kcal/d_w,targetEL2,13,FruitsVeg,192.1793302
FLX,kcal/d_w,targetEL2,13,NonRuminant,72.09990287
FLX,kcal/d_w,targetEL2,13,Oils,508.6942536
FLX,kcal/d_w,targetEL2,13,Others,27.49566615
FLX,kcal/d_w,targetEL2,13,PlantProtein,435.9171554
FLX,kcal/d_w,targetEL2,13,Ruminant,7.503204654
FLX,kcal/d_w,targetEL2,13,Staples,809.1077492
FLX,kcal/d_w,targetEL2,13,Sugar,98.64132461
FLX,kcal/d_w,targetEL2,14,Dairy,160.4539463
FLX,kcal/d_w,targetEL2,14,Fish,17.83652444
FLX,kcal/d_w,targetEL2,14,FruitsVeg,192.1304853
FLX,kcal/d_w,targetEL2,14,NonRuminant,70.69636871
FLX,kcal/d_w,targetEL2,14,Oils,330.7355063
FLX,kcal/d_w,targetEL2,14,Others,18.81919295
FLX,kcal/d_w,targetEL2,14,PlantProtein,424.0657985
FLX,kcal/d_w,targetEL2,14,Ruminant,8.810372781
FLX,kcal/d_w,targetEL2,14,Staples,1082.86202
FLX,kcal/d_w,targetEL2,14,Sugar,64.11162709
FLX,kcal/d_w,targetEL2,15,Dairy,165.1038899
FLX,kcal/d_w,targetEL2,15,Fish,17.75047028
FLX,kcal/d_w,targetEL2,15,FruitsVeg,209.7827257
FLX,kcal/d_w,targetEL2,15,NonRuminant,74.28458238
FLX,kcal/d_w,targetEL2,15,Oils,524.2333363
FLX,kcal/d_w,targetEL2,15,Others,26.10051036
FLX,kcal/d_w,targetEL2,15,PlantProtein,414.2997529
FLX,kcal/d_w,targetEL2,15,Ruminant,16.21031408
FLX,kcal/d_w,targetEL2,15,Staples,793.3951488
FLX,kcal/d_w,targetEL2,15,Sugar,98.89673106
FLX,kcal/d_w,targetEL2,16,Dairy,153.4642681
FLX,kcal/d_w,targetEL2,16,Fish,32.33141254
FLX,kcal/d_w,targetEL2,16,FruitsVeg,194.3336603
FLX,kcal/d_w,targetEL2,16,NonRuminant,78.22272898
FLX,kcal/d_w,targetEL2,16,Oils,641.2559863
FLX,kcal/d_w,targetEL2,16,Others,67.29242466
FLX,kcal/d_w,targetEL2,16,PlantProtein,507.7858062
FLX,kcal/d_w,targetEL2,16,Ruminant,7.981806424
FLX,kcal/d_w,targetEL2,16,Staples,614.4256197
FLX,kcal/d_w,targetEL2,16,Sugar,86.09992611
FLX,kcal/d_w,targetEL2,17,Dairy,189.2337104
FLX,kcal/d_w,targetEL2,17,Fish,17.5286826
FLX,kcal/d_w,targetEL2,17,FruitsVeg,179.0443803
FLX,kcal/d_w,targetEL2,17,NonRuminant,20.12405625
FLX,kcal/d_w,targetEL2,17,Oils,374.9785784
FLX,kcal/d_w,targetEL2,17,Others,20.27359355
FLX,kcal/d_w,targetEL2,17,PlantProtein,408.403743
FLX,kcal/d_w,targetEL2,17,Ruminant,4.284569318
FLX,kcal/d_w,targetEL2,17,Staples,863.5541775
FLX,kcal/d_w,targetEL2,17,Sugar,100.0094862
FLX,kcal/d_w,targetEL2,18,Dairy,12.85348428
FLX,kcal/d_w,targetEL2,18,Fish,35.95585081
FLX,kcal/d_w,targetEL2,18,FruitsVeg,206.9585245
FLX,kcal/d_w,targetEL2,18,NonRuminant,50.50051809
FLX,kcal/d_w,targetEL2,18,Oils,368.8674235
FLX,kcal/d_w,targetEL2,18,Others,12.55028946
FLX,kcal/d_w,targetEL2,18,PlantProtein,395.7328845
FLX,kcal/d_w,targetEL2,18,Ruminant,7.915425258
FLX,kcal/d_w,targetEL2,18,Staples,959.7701273
FLX,kcal/d_w,targetEL2,18,Sugar,103.6061831
FLX,kcal/d_w,targetEL2,19,Dairy,126.7105184
FLX,kcal/d_w,targetEL2,19,Fish,67.63315341
FLX,kcal/d_w,targetEL2,19,FruitsVeg,187.2593692
FLX,kcal/d_w,targetEL2,19,NonRuminant,70.71754633
FLX,kcal/d_w,targetEL2,19,Oils,381.7153027
FLX,kcal/d_w,targetEL2,19,Others,24.49308395
FLX,kcal/d_w,targetEL2,19,PlantProtein,505.1252668
FLX,kcal/d_w,targetEL2,19,Ruminant,5.465144276
FLX,kcal/d_w,targetEL2,19,Staples,769.5154692
FLX,kcal/d_w,targetEL2,19,Sugar,105.274069
FLX,kcal/d_w,targetEL2,2,Dairy,90.11048994
FLX,kcal/d_w,targetEL2,2,Fish,17.10068142
FLX,kcal/d_w,targetEL2,2,FruitsVeg,178.5326715
FLX,kcal/d_w,targetEL2,2,NonRuminant,11.94712961
FLX,kcal/d_w,targetEL2,2,Oils,365.9204613
FLX,kcal/d_w,targetEL2,2,Others,15.6834915
FLX,kcal/d_w,targetEL2,2,PlantProtein,398.0844735
FLX,kcal/d_w,targetEL2,2,Ruminant,18.85077828
FLX,kcal/d_w,targetEL2,2,Staples,949.0311277
FLX,kcal/d_w,targetEL2,2,Sugar,75.22248543
FLX,kcal/d_w,targetEL2,20,Dairy,140.0171451
FLX,kcal/d_w,targetEL2,20,Fish,19.34784251
FLX,kcal/d_w,targetEL2,20,FruitsVeg,157.9414707
FLX,kcal/d_w,targetEL2,20,NonRuminant,75.42860642
