# File: AgMIP_SectoralWasteShare_agg_updated_future_SSP.csv
# Title: Food calorie waste shares by aggregated food groups derived using AgMIP EL2 data
# Units: %
# Comments: preprocessing and aggregation were performed in gcamfaostat
# Source: AgMIP EL2 2025 and gcamfaostat
# Author: xz (Mar 2025)
# Column types: ciicn
# ----------
scenario,GCAM_region_ID,year,WasteSector,WasteShare
SSP2,1,2058,FruitsVeg,0.484938936
SSP2,1,2058,Others,0.251067437
SSP2,1,2059,Animal,0.324117019
SSP2,1,2059,FruitsVeg,0.484938936
SSP2,1,2059,Others,0.25141928
SSP2,1,2060,Animal,0.324464186
SSP2,1,2060,FruitsVeg,0.484938936
SSP2,1,2060,Others,0.251766447
SSP2,1,2061,Animal,0.324823075
SSP2,1,2061,FruitsVeg,0.484938936
SSP2,1,2061,Others,0.252125336
SSP2,1,2062,Animal,0.325177199
SSP2,1,2062,FruitsVeg,0.484938936
SSP2,1,2062,Others,0.25247946
SSP2,1,2063,Animal,0.325526771
SSP2,1,2063,FruitsVeg,0.484938936
SSP2,1,2063,Others,0.252829032
SSP2,1,2064,Animal,0.325872
SSP2,1,2064,FruitsVeg,0.484938936
SSP2,1,2064,Others,0.253174262
SSP2,1,2065,Animal,0.32621276
SSP2,1,2065,FruitsVeg,0.484938936
SSP2,1,2065,Others,0.253515021
SSP2,1,2066,Animal,0.32654873
SSP2,1,2066,FruitsVeg,0.484938936
SSP2,1,2066,Others,0.253850991
SSP2,1,2067,Animal,0.326880484
SSP2,1,2067,FruitsVeg,0.484938936
SSP2,1,2067,Others,0.254182745
SSP2,1,2068,Animal,0.327208328
SSP2,1,2068,FruitsVeg,0.484938936
SSP2,1,2068,Others,0.254510589
SSP2,1,2069,Animal,0.327532232
SSP2,1,2069,FruitsVeg,0.484938936
SSP2,1,2069,Others,0.254834493
SSP2,1,2070,Animal,0.327852276
SSP2,1,2070,FruitsVeg,0.484938936
SSP2,1,2070,Others,0.255154537
SSP2,1,2071,Animal,0.328172796
SSP2,1,2071,FruitsVeg,0.484938936
SSP2,1,2071,Others,0.255475057
SSP2,1,2072,Animal,0.328489808
SSP2,1,2072,FruitsVeg,0.484938936
SSP2,1,2072,Others,0.255792069
SSP2,1,2073,Animal,0.328803161
SSP2,1,2073,FruitsVeg,0.484938936
SSP2,1,2073,Others,0.256105422
SSP2,1,2074,Animal,0.329113142
SSP2,1,2074,FruitsVeg,0.484938936
SSP2,1,2074,Others,0.256415404
SSP2,1,2075,Animal,0.329419707
SSP2,1,2075,FruitsVeg,0.484938936
SSP2,1,2075,Others,0.256721968
SSP2,1,2076,Animal,0.329736908
SSP2,1,2076,FruitsVeg,0.484938936
SSP2,1,2076,Others,0.257039169
SSP2,1,2077,Animal,0.330051007
SSP2,1,2077,FruitsVeg,0.484938936
SSP2,1,2077,Others,0.257353268
SSP2,1,2078,Animal,0.330361841
SSP2,1,2078,FruitsVeg,0.484938936
SSP2,1,2078,Others,0.257664102
SSP2,1,2079,Animal,0.330669684
SSP2,1,2079,FruitsVeg,0.484938936
SSP2,1,2079,Others,0.257971945
SSP2,1,2080,Animal,0.330974371
SSP2,1,2080,FruitsVeg,0.484938936
SSP2,1,2080,Others,0.258276632
SSP2,1,2081,Animal,0.331296242
SSP2,1,2081,FruitsVeg,0.484938936
SSP2,1,2081,Others,0.258598503
SSP2,1,2082,Animal,0.331615234
SSP2,1,2082,FruitsVeg,0.484938936
SSP2,1,2082,Others,0.258917495
SSP2,1,2083,Animal,0.331931395
SSP2,1,2083,FruitsVeg,0.484938936
SSP2,1,2083,Others,0.259233656
SSP2,1,2084,Animal,0.332244661
SSP2,1,2084,FruitsVeg,0.484938936
SSP2,1,2084,Others,0.259546923
SSP2,1,2085,Animal,0.332555294
SSP2,1,2085,FruitsVeg,0.484938936
SSP2,1,2085,Others,0.259857556
SSP2,1,2086,Animal,0.332882482
SSP2,1,2086,FruitsVeg,0.484938936
SSP2,1,2086,Others,0.260184743
SSP2,1,2087,Animal,0.333206974
SSP2,1,2087,FruitsVeg,0.484938936
SSP2,1,2087,Others,0.260509236
SSP2,1,2088,Animal,0.333528918
SSP2,1,2088,FruitsVeg,0.484938936
SSP2,1,2088,Others,0.260831179
SSP2,1,2089,Animal,0.33384846
SSP2,1,2089,FruitsVeg,0.484938936
SSP2,1,2089,Others,0.261150721
SSP2,1,2090,Animal,0.334165421
SSP2,1,2090,FruitsVeg,0.484938936
SSP2,1,2090,Others,0.261467682
SSP2,1,2091,Animal,0.334492338
SSP2,1,2091,FruitsVeg,0.484938936
SSP2,1,2091,Others,0.261794599
SSP2,1,2092,Animal,0.334817041
SSP2,1,2092,FruitsVeg,0.484938936
SSP2,1,2092,Others,0.262119303
SSP2,1,2093,Animal,0.335139349
SSP2,1,2093,FruitsVeg,0.484938936
SSP2,1,2093,Others,0.262441611
SSP2,1,2094,Animal,0.335459403
SSP2,1,2094,FruitsVeg,0.484938936
SSP2,1,2094,Others,0.262761664
SSP2,1,2095,Animal,0.335777341
SSP2,1,2095,FruitsVeg,0.484938936
SSP2,1,2095,Others,0.263079602
SSP2,1,2096,Animal,0.336098327
SSP2,1,2096,FruitsVeg,0.484938936
SSP2,1,2096,Others,0.263400588
SSP2,1,2097,Animal,0.336417395
SSP2,1,2097,FruitsVeg,0.484938936
SSP2,1,2097,Others,0.263719656
SSP2,1,2098,Animal,0.336734357
SSP2,1,2098,FruitsVeg,0.484938936
SSP2,1,2098,Others,0.264036618
SSP2,1,2099,Animal,0.337049347
SSP2,1,2099,FruitsVeg,0.484938936
SSP2,1,2099,Others,0.264351608
SSP2,1,2100,Animal,0.337362499
SSP2,1,2100,FruitsVeg,0.484938936
SSP2,1,2100,Others,0.264664761
SSP3,1,2010,Animal,0.299680282
SSP3,1,2010,FruitsVeg,0.480088707
